verse_number,english_verse,translation_verse
23,"“A virgin will have a baby boy, and he will be called Immanuel,” which means “God is with us.”","Nɩan, talua muan'n 'ba nwʋnnzɛ, ɔ 'ba wʋ baa belenzua kʋn. Baa sɔ'n, bɛ 'ba fɛlɛ yɩ́ Emannuɛ."
11,"From David to the time of the exile in Babylonia, the ancestors of Jesus were: David, Solomon , Rehoboam, Abijah, Asa, Jehoshaphat, Jehoram; Uzziah, Jotham, Ahaz, Hezekiah, Manasseh, Amon, Josiah, and Jehoiachin and his brothers.",Zoziasɩ a wʋ Zekonia nʋn yɩ́ nianman'n-mɔ. Mɛlɛ sɔ nɩn anun yɛ̂ bɛ hyɩlɩ Izalayɛ amma'n-mɔ hɔlɩ Babilɔnʋn ɔ.
16,"From the exile to the birth of Jesus, his ancestors were: Jehoiachin, Shealtiel, Zerubbabel, Abiud, Eliakim, Azor, Zadok, Achim; Eliud, Eleazar, Matthan, Jacob, and Joseph, the husband of Mary, the mother of Jesus, who is called the Messiah.","Zʋakɔbʋ a wʋ Zozɛfʋ. Yɩ́ yɩ y'ɔ le Mali. Mali sɔ'n, yɩ́ yɛ̂ ɔ wʋlɩ Zozi mɔ bɛ fɛlɛ yɩ́ *Kilisi nɩn ɔ."
14,more to the birth of the Messiah. The Birth of Jesus (Luke,"Azɔɔ a wʋ Sadɔkɩ, Sadɔkɩ a wʋ Akimʋn, Akimʋn a wʋ Eliwudɩ,"
18,"This is how Jesus Christ was born. A young woman named Mary was engaged to Joseph from King David's family. But before they were married, she learned that she was going to have a baby by God's Holy Spirit.","Ɛ 'nwun kɛ ɔ kpɩnlɩn yɔlɩ mɔ bɛ wʋlɩ Zozi Kilisi'n. Anɩn Mali m'ɔ tɩ yɩ́ nin'n, ɔ nʋn Zozɛfʋ b'a ja bɛ́ nwʋn. Nan asannan nán Zozɛfʋ a fa Mali atɔnvɔlɛ'n, Wawɛ Nwannzan-nwannzan'n tunmin'n kɔ man Mali kɔ nwʋnnzɛ."
19,Joseph was a good man and did not want to embarrass Mary in front of everyone. So he decided to quietly call off the wedding.,"Zozɛfʋ m'ɔ tɩ yɩ́ hun'n tɩ sʋanlan sɛsɛ. Yɛ̂ kɛmɔ ɔ ngulo man kɛ ɔ bɔ Mali anwʋn ɛjɔlɛ ɔ kele menian'n-mɔ, ɔ fualɩ kɛ ɔ nʋn yɩ́ bɛ 'tɩtɩ nvɩalɩɛ nun."
20,"While Joseph was thinking about this, an angel from the Lord appeared to him in a dream. The angel said, “Joseph, the baby that Mary will have is from the Holy Spirit. Go ahead and marry her.","Kɛmɔ anɩn ajʋnlɩn sɔ'n wɔ yɩ́ ti anun'n, yɛ́ Mɩn bɔfʋɛ'n kʋn kɔ a kɔ hɩn yɩ́ ɛlalɩɛ. Yɩ́ nwan: “Belemgbin *Davidi anʋnman Zozɛfʋ, n'ɛ hyʋhyʋɩn wɔ́ bʋ asɩ, fa Mali sie wɔ́ nwʋn kɛ wɔ́ yɩ. Ɔ sanlɩn kɛ baa'n m'ɔ lɛ nwʋnnzɛ yɩ́'n fi Wawɛ Nwannzan-nwannzan'n."
21,"Then after her baby is born, name him Jesus, because he will save his people from their sins.”","Ɔ 'ba wʋ baa belenzua kʋn. Baa sɔ'n, ɛ 'ba tʋn yɩ́ Zozi, yɩ́ dein yɛ̂ ɔ 'ba le yɩ́ menian'n-mɔ fi bɛ́ ɛtɛ nɩn anun ɔ.”"
22,"So the Lord's promise came true, just as the prophet had said,",Ɛhɩ kʋalaatin walɩ maan ɛjɔlɛ'n mɔ yɛ́ Mɩn manlɩn yɩ́ kpɔmanfʋɛ'n hanlɩn'n kpɩnlɩn sʋ. Yɩ́ nwan:
24,"After Joseph woke up, he and Mary were soon married, just as the Lord's angel had told him to do.","Mɔ Zozɛfʋ fi nafɛlɛ nɩn anun tinngelɩ'n, ɔ yɔlɩ like'n mɔ yɛ́ Mɩn bɔfʋɛ'n helelɩ yɩ́'n. Ɔ sɔlɩ Mali nun ɔ falɩ yɩ́ kacili yɩ́ yɩ."
