verse_number,english_verse,translation_verse
23,"“A virgin will have a baby boy, and he will be called Immanuel,” which means “God is with us.”","“Di ke, ɔdisami gi óte onyime e, aakɔ̀ limɛ ɛ, gi aapɔ obinyime e, lɛ biaxwa yɛ si Imanuel,” gi lɛ ese linu si “Aya ɔlɛ ni blɔ.”"
11,"From David to the time of the exile in Babylonia, the ancestors of Jesus were: David, Solomon , Rehoboam, Abijah, Asa, Jehoshaphat, Jehoram; Uzziah, Jotham, Ahaz, Hezekiah, Manasseh, Amon, Josiah, and Jehoiachin and his brothers.",Lɛ Yosia apɔ Yexonya ni yɛ beneminyime ba ní ba Babilonia aboyo la me kuzezeo lipoe le me e.
16,"From the exile to the birth of Jesus, his ancestors were: Jehoiachin, Shealtiel, Zerubbabel, Abiud, Eliakim, Azor, Zadok, Achim; Eliud, Eleazar, Matthan, Jacob, and Joseph, the husband of Mary, the mother of Jesus, who is called the Messiah.","Nite si Yakob apɔ Yosef. Yosef yedze eze Maria a. Lɛ Maria ɛ, yɛ apɔ Yesu gi yɛ onu Kristo e."
14,more to the birth of the Messiah. The Birth of Jesus (Luke,"Azur apɔ Zadok, Zadok apɔ Yaxin, lɛ Yaxin apɔ Elihud i."
18,"This is how Jesus Christ was born. A young woman named Mary was engaged to Joseph from King David's family. But before they were married, she learned that she was going to have a baby by God's Holy Spirit.","Yesu Kristo yɛ kupɔpɔɔ mɛ eboe la ɛtrɛ nite: Beʋi yene Maria litukpo ɛki Yosef. Pɔ xe ableke biakpɛ likpɔ ɛ, amɔ si yɛ akɔ limɛ ní Ɔfuɛfuɛ Dradra lɔ mɛ kooko."
19,Joseph was a good man and did not want to embarrass Mary in front of everyone. So he decided to quietly call off the wedding.,"Yenye Yosef eze ɔnɔ gi abitɛ ní Aya yɛ isã nɛ aʋa a, niteme si ɔ́pɛ si yikpɛ ɔdzɛɛ kuye e ní banima aŋu mɛ. Lɛ loso e, atrɔ si yɛ ayurɔ yɛ ní kikpokpo me."
20,"While Joseph was thinking about this, an angel from the Lord appeared to him in a dream. The angel said, “Joseph, the baby that Mary will have is from the Holy Spirit. Go ahead and marry her.","Agi azeegyo eboa la su edi i, Aya yɛ ɔxwɛdzɛɛ ebu isu ya abasɛ Yosef ní kulila mɛ. Lɛ akpɛ ɔna ní yɛ lipo si, “Yosef, Dawid yebie, wukíse lifu ní Maria kugbanɔɔ su u, lɛ ese linu si yɛ limɛ nɛ ɛ, Ɔfuɛfuɛ Dradra lɔ mɛ lidɔ ɔ."
21,"Then after her baby is born, name him Jesus, because he will save his people from their sins.”",Atrápɔ obinyime gi biaxwa yɛ si Yesu lɛ ese linu si yɛ atrábu yɛ benete ba ní ba eboe zimizi na mɛ ɛ.”
22,"So the Lord's promise came true, just as the prophet had said,","Kɔ eboa la ya pɔ́ ɛba la mɛ, tɔ biakɔ bloni liboe lɛ gi Aya apani aplɛ gani yɛ oboedoplɛɛ aʋa sì,"
24,"After Joseph woke up, he and Mary were soon married, just as the Lord's angel had told him to do.","Agi Yosef enyime ní sra sɛ mɛ ɛ, abitɛ ní Aya yɛ ɔxwɛdzɛɛ yɛ liboe le aʋa. Niteme si agbani Maria."
