verse_number,english_verse,translation_verse
23,"“A virgin will have a baby boy, and he will be called Immanuel,” which means “God is with us.”","“Hwɛ, babunu he bɛfa afuro na wawo ba beema, na bɛato ne dini sɛ Immanuel,” asekyerɛ ne sɛ, ."
14,more to the birth of the Messiah. The Birth of Jesus (Luke,"na Asor woo Sadok, na Sadok woo Akim, na Akim woo Elihud,"
18,"This is how Jesus Christ was born. A young woman named Mary was engaged to Joseph from King David's family. But before they were married, she learned that she was going to have a baby by God's Holy Spirit.","Afei kwane a bɛfaa so woo Yesu Kristo di: Berɛ a bɛde ne maame Maria maa Yosef sɛ asiwa, na bennya ntenaa sɛ awarefoɔ he, behuu sɛ Maria afa afuro a ofiri Honhom Kronkron."
19,Joseph was a good man and did not want to embarrass Mary in front of everyone. So he decided to quietly call off the wedding.,"Ɔnam sɛ na Yosef a ɔyɛ n'asiwa yerɛ he yɛ nipa tenenee na ɔmpɛ sɛ obegu Maria anim ase badwam nti, ɔbɔɔ ne tim pɔ sɛ obegyae no kokoam."
20,"While Joseph was thinking about this, an angel from the Lord appeared to him in a dream. The angel said, “Joseph, the baby that Mary will have is from the Holy Spirit. Go ahead and marry her.","Nso berɛ a ɔyɔɔ sɛ obetu saa anammɔn he pɛ ne Nyankopɔn bɔfoɔ yii ne ho adi kyerɛɛ no daeɛso mu, kaa sɛ, “Yosef, Dawid ba, nsuro sɛ wobɛfa Maria a ɔyɛ w'asiwa-yerɛ he akɔ wo fie, efiri sɛ, abɔfra a ɔnyem no he firi Honhom Kronkron."
21,"Then after her baby is born, name him Jesus, because he will save his people from their sins.”","Ɔbɛwo ba beema, na to ne dini Yesu, efiri sɛ ɔno ne bɛgye ne nkurofoɔ afiri bɛ bɔne mu.”"
22,"So the Lord's promise came true, just as the prophet had said,","Yei nyinaa siiɛ sɛdeɛ asɛm a Awurade nam diyifoɔ he so kaeɛ he bɛbam sɛ,"
24,"After Joseph woke up, he and Mary were soon married, just as the Lord's angel had told him to do.","Berɛ a Yosef nyane firii ne nna mu he, ɔyɔɔ sɛdeɛ Awurade bɔfoɔ he hyɛɛ no sɛ ɔnyɔ he; na ɔfaa Maria baa ne nkyɛne sɛ ne yerɛ,"
25,But they did not sleep together before her baby was born. Then Joseph named him Jesus.,nso wamfa ne ho anka no kosii sɛ ɔwoo ba beema; na ɔtoo ne dini Yesu.
1,"When Jesus was born in the village of Bethlehem in Judea, Herod was king. During this time some wise men from the east came to Jerusalem","Hene Herode berɛ so he, bɛwoo Yesu Betlehem a ɔya Yudea. Na yei akyi he, nsoromma mu animdefoɔ bi firi apieeɛ baa Yerusalem,"
2,"and said, “Where is the child born to be king of the Jews? We saw his star in the east and have come to worship him.”","bebisaa sɛ, “Hefa ne Yudafoɔ hene a bɛawo no he ya? Yɛahu ne nsoromma apieɛ, na yɛaba sɛ yɛɛbɛkoto no.”"
3,"When King Herod heard about this, he was worried, and so was everyone else in Jerusalem.","Berɛ a Herode a ɔyɛ hene he teeɛ he, ɔne Yerusalemfoɔ nyinaa akoma tuiɛ;"
4,"Herod brought together the chief priests and the teachers of the Law of Moses and asked them, “Where will the Messiah be born?”",na ɔfrɛɛ asɔfoɔ mpanyimfoɔ ne mane he mu atwerɛfoɔ nyinaa bisaa bɛ baabi a ɔsɛ sɛ bɛwo Kristo he.
5,"They told him, “He will be born in Bethlehem, just as the prophet wrote,","Bɛka kyerɛɛ no sɛ, ɔsɛ sɛ bɛwo no Betlehem a ɔya Yudea, sɛnea adiyifoɔ he bɛatwerɛ ato hɔ sɛ:"
6,"‘Bethlehem in the land of Judea, you are very important among the towns of Judea. From your town will come a leader, who will be like a shepherd for my people Israel.’ ”","“Na wo, Betlehem a woya Yuda asaase so, wonyɛ kumaa Yuda amane mufoɔ mu, efiri sɛ wo mu ne bɛbɛfrɛ safohene afiri a ɔbɛyɛ dwanhwɛfoɔ ama me mane Israel.”"
7,Herod secretly called in the wise men and asked them when they had first seen the star.,Afei Herode frɛɛ nsoromma mu animdefoɔ he kokoam bisaa bɛ berɛ pɔtee a saa nsoromma he pieeɛ.
8,"He told them, “Go to Bethlehem and search carefully for the child. As soon as you find him, let me know. I also want to go and worship him.”","Na ɔsomaa bɛ Yerusalem, kaa sɛ, “Honkɔhwehwɛ abɔfra he yie; na sɛ hohu no a, hommɛka nkyerɛ me na me nso menkɔkoto no bi.”"
9,The wise men listened to what the king said and then left. And the star they had seen in the east went on ahead of them until it stopped over the place where the child was.,"Na betiee hene he nsɛm he wieeɛ he, befirii hɔ; na hɔaa, nsoromma a opieeɛ he dii bɛ anim, kosii sɛ okogyinaa baabi a abɔfra he ya."
10,They were thrilled and excited to see the star.,"Behuu sɛ nsoromma he agyina he, bɛ ani gye boroo so."
11,"When the men went into the house and saw the child with Mary, his mother, they knelt down and worshiped him. They took out their gifts of gold, frankincense, and myrrh and gave them to him.","Bewuraa fie a na abɔfra he yam he mu he, behuu ɔne ne maame Maria, na bɛkoto sɔree no. Afei, bebiee bɛ kotokuo mu yii sikakɔkɔɔ, krobo, ne aduhwam de yɔɔ no ayɛ."
12,"Later they were warned in a dream not to return to Herod, and they went back home by another road. The Escape to Egypt","Na bɛbɔɔ bɛ kɔkɔ daeɛ mu sɛ bɛnnsane nkɔ Herode hɔ bio he, bɛfaa kwane foforɔ so kɔɔ bɛ kurom. Yosef de abɔfra he dwane kɔɔ Misraim"
13,"After the wise men had gone, an angel from the Lord appeared to Joseph in a dream and said, “Get up! Hurry and take the child and his mother to Egypt! Stay there until I tell you to return, because Herod is looking for the child and wants to kill him.”","Na nsoromma mu animdifoɔ he firii hɔ he, Nyankopɔn bɔfoɔ yii ne ho adi kyerɛɛ Yosef ka kyerɛɛ no sɛ, “Sɔre, fa abɔfra he ne ne maame, na honnwane nkɔ Misraim, na hontena hɔ nkosi sɛ mɛka bibi akyerɛ ho bio ɔfa yei ho; efiri sɛ Herode ɔɔpɛ abɔfra he aku no.”"
14,"That night, Joseph got up and took his wife and the child to Egypt,","Na Yosef sɔreeɛ, na ɔfaa abɔfra he ne ne maame anadwo he, na bɛkɔɔ Misraim,"
15,"where they stayed until Herod died. So the Lord's promise came true, just as the prophet had said, “I called my son out of Egypt.” The Killing of the Children","na bɛtenaa hɔ kosii sɛ Herode wuiɛ. Yei maa deɛ Awurade nam diyifoɔ he so kaeɛ he baa mu sɛ, “Misraim ne mafrɛ me ba he afiri.” Bekuu mmɔfra"
16,"When Herod found out that the wise men from the east had tricked him, he was very angry. He gave orders for his men to kill all the boys who lived in or near Bethlehem and were two years old and younger. This was based on what he had learned from the wise men.","Na Herode huu sɛ nsoromma mu animdefoɔ he adaadaa no he, ne bo fuu kɛse paa, na ɔsoma maa bekokuu mmɔfra mmeema a benni mmoroo mfie mmienu nyinaa a bɛya Yerusalem ne ne mpɔtamu, sɛnea berɛ a ohu firii nsoromma mu animudefoɔ he hɔ kyerɛ he."
17,"So the Lord's promise came true, just as the prophet Jeremiah had said,",Na diyifoɔ Yeremia asɛm he baam sɛ:
18,"“In Ramah a voice was heard crying and weeping loudly. Rachel was mourning for her children, and she refused to be comforted, because they were dead.” The Return from Egypt","“Bɛtee nne bi Rama, su ne adwotwa dendene, Rahel oosu ne mma, ɔmma kwane mma ne werɛ nkyekyere, efiri sɛ benni hɔ bio.” Yosef ne abɔfra he firii Misraim sane baeɛ"
19,"After King Herod died, an angel from the Lord appeared in a dream to Joseph while he was still in Egypt.","Na Herode wuiɛ he, hwɛ, Awurade bɔfoɔ yii ne ho adi daeɛ mu kyerɛɛ Yosef Misraim na ɔka kyerɛɛ no sɛ,"
20,"The angel said, “Get up and take the child and his mother back to Israel. The people who wanted to kill him are now dead.”","“Sɔre, fa abɔfra he ne ne maame, kɔ Israel mane mu, bɛ a bɛɛpɛ abɔfra he aku no he nyinaa awuwu.”"
21,Joseph got up and left with them for Israel.,"Na Yosef sɔre faa abɔfra he ne ne maame, de bɛkɔɔ Israel asaase so."
22,"But when he heard that Herod's son Archelaus was now ruler of Judea, he was afraid to go there. Then in a dream he was told to go to Galilee,","Nso ɔtee sɛ Arkelao asi ne papa Herode anane mu oodi adeɛ Yudea he, osuroo sɛ ɔbɛkɔ hɔ. Na afei, bɛbɔɔ no kɔkɔ daeɛ mu he, ɔkɔɔ Galilea mansinim."
23,"and they went to live there in the town of Nazareth. So the Lord's promise came true, just as the prophet had said, “He will be called a Nazarene.”","Na ɔkɔtenaa baabi a bɛfrɛ hɔ Nasaret, nti deɛ diyifoɔ he kaeɛ he baam sɛ, “Bɛbɛfrɛ no Nasareni.”"
2,"He said, “Turn back to God! The kingdom of heaven will soon be here.”","“Honsakra ho adwene, na soro ahennie he abɛne.”"
4,John wore clothes made of camel's hair. He had a leather strap around his waist and ate grasshoppers and wild honey.,"Na Yohane fira ntoma a bɛde yoma nwii ayɔ a nwoma aboomu bɔ n’asenem, na aduane a odi ne mmɛbɛ ne wuram woɔ."
5,From Jerusalem and all Judea and from the Jordan River Valley crowds of people went to John.,"Na Yerusalemfoɔ ne Yudeafoɔ nyinaa ɔne bɛ a bɛte Yordan agya nyinaa kɔɔ ne nkyɛne,"
6,"They told how sorry they were for their sins, and he baptized them in the river.",na bɛba bɛkaa bɛ bɔne ma ɔbɔɔ bɛ asu Asubɔntene Yordan mu.
7,Many Pharisees and Sadducees also came to be baptized. But John said to them: You bunch of snakes! Who warned you to run from the coming judgment?,"Nso ohuu Farisifoɔ ne Sadukifoɔ sɛ bɛɛba abɛbɔ asu he, ɔka kyerɛɛ bɛ sɛ, “Ho nankatia mma! Hwane ne bɔɔ ho kɔkɔ sɛ honnwane mfiri abufuo a ɔɔba he ho?"
10,An ax is ready to cut the trees down at their roots. Any tree that doesn't produce good fruit will be chopped down and thrown into a fire.,Mpo seesei bɛde akuma ato dua he nhini ase; nti dua biaa a ɔnnso aba he bebetwa na bɛato atwene gya mu.
12,"His threshing fork is in his hand, and he is ready to separate the wheat from the husks. He will store the wheat in a barn and burn the husks in a fire that never goes out. The Baptism of Jesus (Mark","Okita ne huhuammoa ne nsam, na ɔbɛpra n’ayuporobea hɔ na woaboaboa n’ayuo ano akogu pata so; nso ntɛ he deɛ, ɔde gya a onnum da bɛhye ne nyinaa.” Yesu asubɔ (Marko"
13,Jesus left Galilee and went to the Jordan River to be baptized by John.,"Afei Yesu firii Galilea baa Yohane nkyɛne Yordan ho, sɛ Yohane mmɔ no asu."
14,"But John kept objecting and said, “I ought to be baptized by you. Why have you come to me?”","Nso Yohane pɛɛ sɛ osi no kwane, na ɔkaa sɛ, “Me ne ɔsɛ sɛ wobɔ me asu, ne wo mmom wooba me nkyɛne yi?”"
15,"Jesus answered, “For now this is how it should be, because we must do all God wants us to do.” Then John agreed.","Nso Yesu buaa no sɛ, “Ma ɔnyɛ saa, ɔyɛ ma yɛ sɛ yɛhyɛ tenenee nyinaa ma.” Na Yohane penee so maa no."
