verse_number,english_verse,translation_verse
23,"“A virgin will have a baby boy, and he will be called Immanuel,” which means “God is with us.”","“Nyɛ a pɔɔsarbile na tara na pʊɔ dɔɔ dabile, ban 'yɔ̃ɔn a wʊ yuor Emanuwɛl,” (Isaiya"
11,"From David to the time of the exile in Babylonia, the ancestors of Jesus were: David, Solomon , Rehoboam, Abijah, Asa, Jehoshaphat, Jehoram; Uzziah, Jotham, Ahaz, Hezekiah, Manasseh, Amon, Josiah, and Jehoiachin and his brothers.","ka Josiya mɩ ɩ Jekoniya sãa, nɩ a wʊ yɛɛr a sɔ̃ɔ 'lɔ ban bar a ba tẽe tɩ chen tɩ kpɩɛrɛ Babilon tẽe."
16,"From the exile to the birth of Jesus, his ancestors were: Jehoiachin, Shealtiel, Zerubbabel, Abiud, Eliakim, Azor, Zadok, Achim; Eliud, Eleazar, Matthan, Jacob, and Joseph, the husband of Mary, the mother of Jesus, who is called the Messiah.","Jekɔb mɩ lɛ ɩ a Josefʊ sãa na ɩ Mɛɛr sɩrɛ 'lɔ lɛ ɩ a Yesu ma, a Yesu nyã lɛ ɩ a Nɩ-iraa."
14,more to the birth of the Messiah. The Birth of Jesus (Luke,") a par lɛ, Nãaŋmɩn ben a sɩ sɛ̃."
18,"This is how Jesus Christ was born. A young woman named Mary was engaged to Joseph from King David's family. But before they were married, she learned that she was going to have a baby by God's Holy Spirit.","Nɩtɔ̃ lɛ a Yesu Kɩrɩsɩto dɔɔfʊ yele tu. A wʊ ma Mɛɛr ŋmaan na Josefʊ baraa tɩchɛ baa kul taa sɛrɛ ɛ, ka Nãaŋmɩn Sɩɛ vɛ̃ ka wʊ tara pʊɔ."
19,Joseph was a good man and did not want to embarrass Mary in front of everyone. So he decided to quietly call off the wedding.,"A wʊ baraa Josefʊ na ɩ nɩtor jũu, ba bʊɔrɔ ɩka wʊ su wʊ vĩ nɩyɔɔ pɔ ɛ, ka wʊ tɩɛr ɩka wʊ sɔɔl bar wʊ jaa jomm."
20,"While Joseph was thinking about this, an angel from the Lord appeared to him in a dream. The angel said, “Joseph, the baby that Mary will have is from the Holy Spirit. Go ahead and marry her.","Wʊn wa tɩɛr a yele nyã maalfʊ, ka a Nãaŋmɩn malaka wa a wʊ sɛ̃ jãn pɔ wa 'yɛr, “Josefʊ, David bie, ta joro dãbãɛ ɩka fʊ de a Mɛɛr ka wʊ ɩ a fʊ pɔɔ ɛ, a bie na be a wʊ pʊɔm yin a Nãaŋmɩn Sɩɛ kpɛ̃ɔ pɔ."
21,"Then after her baby is born, name him Jesus, because he will save his people from their sins.”","Wʊn dɔɔn dabile ka fʊ na bʊɔlɔ a wʊ yuor Yesu, 'lɔ lɛ na faa a wʊ nɩbɛ yin a ba yeldɛbɛ pɔ.”"
22,"So the Lord's promise came true, just as the prophet had said,","Anyã a jaa ɩ naa ka a wiil a sɩ Soro 'yɛrbie wʊn dɔ̃ɔ 'yɛr tu a wʊ 'yɛ'yɛrɛ pɔ ɩ yelmãɛ,"
24,"After Joseph woke up, he and Mary were soon married, just as the Lord's angel had told him to do.","Josefʊ na wa jɛɔ a gʊ̃ɔ pɔ, wʊ ɩn a lɛ jaa a Nãaŋmɩn malaka na 'yɛr ɩka wʊ ɩ. Ka wʊ de a Mɛɛr ka wʊ ɩ a wʊ pɔɔ,"
