Model,Similarity Score (%),Raw Score
deepseek-v3.1,58.89%,58.89169079012868
gemini-2.5-flash,53.70%,53.70404815673828
kimi-k2-instruct-0905,52.44%,52.44072838964041
llama-4-maverick-17b-128e-instruct,49.15%,49.145275294365675
claude-sonnet-4-5,45.42%,45.42255163192749
qwen3-235b-a22b,44.69%,44.68844672661855
llama-3.1-405b-instruct,43.08%,43.07863393365808
gpt-4.1,38.61%,38.60709762573242
palmyra-med-70b,37.41%,37.4093343
llama-3.3-70b-instruct,34.34%,34.34383902996323
gemma-2-27b-it,33.62%,33.618630750622444
qwen3-32b,32.51%,32.51335570833333
mistral-medium-3-instruct,30.31%,30.307916010816378
gemma2-9b-it,29.20%,29.202667648
mistral-7b-instruct-v0.3,27.62%,27.617255
seed-oss-36b-instruct,25.28%,25.281664434431704
qwq-32b,24.69%,24.69360926704531
gemma-2-9b-it,23.88%,23.883091560473417
gpt-oss-120b,23.68%,23.675415066651993
