Translation Benchmark Results for cko-eng
Generated on: 2026-01-19 11:10:33

Model Performance:
gemini-2.5-flash: 51.97%
kimi-k2-instruct-0905: 45.97%
qwen3-235b-a22b: 44.83%
llama-3.3-70b-instruct: 44.42%
claude-sonnet-4-5: 43.84%
llama-4-maverick-17b-128e-instruct: 43.54%
llama-3.1-405b-instruct: 43.54%
mistral-medium-3-instruct: 42.36%
gemma-2-27b-it: 41.89%
deepseek-v3.1: 40.73%
seed-oss-36b-instruct: 40.05%
gpt-4.1: 38.41%
gemma-2-9b-it: 38.32%
qwq-32b: 37.22%
qwen3-32b: 35.12%
palmyra-med-70b: 32.32%
gemma2-9b-it: 31.77%
gpt-oss-120b: 31.55%
mistral-7b-instruct-v0.3: 22.90%

Best Model: gemini-2.5-flash (51.97%)
Average Score: 39.51%
