text,ref,Unnamed: 2,translated,similarity_score
Ame geɖe xa nu vevie ɖe Yesu ƒe ku la ta ; wotrɔ dzime eye woxɔ nyɔnyrɔ .,Many were stabbed to the heart over Jesus ' death ; they repented and were baptized .,,People who have many troubles because of Jesus’ death; they cry and receive comfort.,0.5163423
Ame geɖe xɔe se be Satana le dzo mavɔ me le anyigba ƒe titina .,Many believe that Satan resides in a fiery hell at the center of the earth .,,Some people say that Satan lives in the darkness of the earth.,0.8369174
"Ame geɖewo metea ŋu doa dzi tena ɖe apostoloawo ŋu tututu o , ke ha ̃ ame sia ame tsɔ bubu tɔxɛ blibo na wo .",And of the rest durst no man join himself to them : but the people magnified them .,,"If people do not obey the apostles, then this person will be punished.",0.27765203
Ame kae ate ŋu akpe ɖe mía ŋu ?,Who can help us ?,,What can we thank you for?,0.2161235
Ame kae na ŋutsu kple nyɔnu gbãtɔ la wɔ ɖeka le srɔ ̃ ɖeɖe me ?,Who united the first human pair in marriage ?,,What do men and women have in common?,0.469834
"Ame kawoe nye vɔvɔli na Yesu , eye le mɔ kawo nu ?","Who foreshadowed Jesus , and in what ways ?",,"Are we followers of Jesus, and what do we have?",0.26842883
Ame si ŋu wokpe ɖo alea la ' xɔa nya si wòse la dea eme ale gbegbe be eva kana ɖe nyaa dzi . ',"The one persuaded is "" so convinced that [ he ] puts confidence in someth [ ing ] . """,,People who do not work will be left with nothing and will end up starving.,0.038101915
"Ame sia ame ate ŋu ade woƒe kpekpeawo faa . Kpekpe siwo wowɔna le kwasiɖaa me la dometɔ ɖekae nye esi woyɔna be Teokrasi Subɔsubɔ Suku , eye ekpena ɖe hamea me tɔwo ŋu be woabi ɖe nufiafia , nuxexlẽ kple numekuku me .","One of their weekly meetings , the Theocratic Ministry School , helps congregation members develop teaching , reading , and research skills .",,"These people who have been assigned the task of overseeing the community, those who are present at the gathering, are told that they must act as the Theocratic Subordinate School, and they are instructed to bring peace, unity, and cooperation.",0.560551
"Ame siawoe nye ame nyuitɔ kekeake siwo medo goe kpɔ . """,I found these people to be among the nicest I have ever met .,,These people are the very few who truly love each other.,0.39109513
"Ame siwo katã le "" hell "" la ɖeɖe tso eme fia be woagbɔ agbe ame siwo katã Mawu bu be wodze be woafɔ wo ɖe tsitre la .","Emptying "" hell "" will mean restoring to life all those whom God judges worthy of a resurrection .",,"All the people who are in “hell” say that they have lived, that everyone God says will be taken to the fire.",0.60819304
"Ame siwo katã lɔ ̃ Yehowa vavã la aƒo asa na agbalẽ , video , kple kɔmpiutadzifefe siwo me gbɔgbɔyɔyɔnuwɔnawo dzena le alo esiwo doa gbɔgbɔyɔlawo ƒe nuwɔnawo kple dzixɔsewo ɖe ŋgɔ .","All who truly love Jehovah will stay away from books , movies , and computer games that are rooted in the occult or that promote occult practices and beliefs .",,"All those who love Jehovah are given video and computer resources, as well as the necessary tools and support for their work.",0.47241652
