text,ref,Unnamed: 2,translated,similarity_score
Ame geɖe xa nu vevie ɖe Yesu ƒe ku la ta ; wotrɔ dzime eye woxɔ nyɔnyrɔ .,Many were stabbed to the heart over Jesus ' death ; they repented and were baptized .,,And there was a man in Jerusalem whose name was Simeon ; and this man was righteous and devout,0.38226777
Ame geɖe xɔe se be Satana le dzo mavɔ me le anyigba ƒe titina .,Many believe that Satan resides in a fiery hell at the center of the earth .,,Some people think that Satan is living in the darkness of the forest.,0.6977819
"Ame geɖewo metea ŋu doa dzi tena ɖe apostoloawo ŋu tututu o , ke ha ̃ ame sia ame tsɔ bubu tɔxɛ blibo na wo .",And of the rest durst no man join himself to them : but the people magnified them .,,"And the disciples were called Christians first in Antioch, because they were teaching that Christ was the one who would save them.",0.28180665
Ame kae ate ŋu akpe ɖe mía ŋu ?,Who can help us ?,,What is the name of your father?,0.07346374
Ame kae na ŋutsu kple nyɔnu gbãtɔ la wɔ ɖeka le srɔ ̃ ɖeɖe me ?,Who united the first human pair in marriage ?,,What is the relationship between a man and his wife in a polygamous marriage?,0.47419637
"Ame kawoe nye vɔvɔli na Yesu , eye le mɔ kawo nu ?","Who foreshadowed Jesus , and in what ways ?",,"What shall it profit a man if he gains the whole world and loses his soul, like Jesus said?",0.18962638
Ame si ŋu wokpe ɖo alea la ' xɔa nya si wòse la dea eme ale gbegbe be eva kana ɖe nyaa dzi . ',"The one persuaded is "" so convinced that [ he ] puts confidence in someth [ ing ] . """,,"If you want to learn something, you must first learn to be quiet and listen, for it is those who are quiet that hear the most.",0.18702987
"Ame sia ame ate ŋu ade woƒe kpekpeawo faa . Kpekpe siwo wowɔna le kwasiɖaa me la dometɔ ɖekae nye esi woyɔna be Teokrasi Subɔsubɔ Suku , eye ekpena ɖe hamea me tɔwo ŋu be woabi ɖe nufiafia , nuxexlẽ kple numekuku me .","One of their weekly meetings , the Theocratic Ministry School , helps congregation members develop teaching , reading , and research skills .",,"We all have to take care of our homes. If we all do our part, we can make our community a better place, that is a Theocratic society, where everyone will have their freedom and rights, as well as peace and happiness.",0.21375984
"Ame siawoe nye ame nyuitɔ kekeake siwo medo goe kpɔ . """,I found these people to be among the nicest I have ever met .,,The elders said that the elders' gathering is not a child's play.,0.16738087
"Ame siwo katã le "" hell "" la ɖeɖe tso eme fia be woagbɔ agbe ame siwo katã Mawu bu be wodze be woafɔ wo ɖe tsitre la .","Emptying "" hell "" will mean restoring to life all those whom God judges worthy of a resurrection .",,"If our ancestors had known about ""hell"" they would have advised us to fear God so that we don't end up there and suffer.",0.4678633
"Ame siwo katã lɔ ̃ Yehowa vavã la aƒo asa na agbalẽ , video , kple kɔmpiutadzifefe siwo me gbɔgbɔyɔyɔnuwɔnawo dzena le alo esiwo doa gbɔgbɔyɔlawo ƒe nuwɔnawo kple dzixɔsewo ɖe ŋgɔ .","All who truly love Jehovah will stay away from books , movies , and computer games that are rooted in the occult or that promote occult practices and beliefs .",,"We have many tools such as Bibles, books, videos, and computers that help us to understand the Bible better and to share our faith with others.",0.30289763
"Ame siwo le afi ma se nya si wo ̀ gblɔ la gblɔ be , "" Nenye be esese ̃ alea ɖe , ekema ame ka koŋ ate ŋu akpɔ ɖeɖe sia ? ""","Those who heard it said , "" Then who can be saved ? """,,"And they said to him, ""If you are the King of the Jews, save yourself!""",0.5408058
Ame siwo menye Eŋlisigbedolawo o hã da akpe ɖe Xexe Yeye Gɔmeɖeɖe Biblia ta .,People who speak languages other than English are also thankful for the New World Translation .,,We thank God for giving us the opportunity to prepare Xexe Yeye Gɔmeɖeɖe Bible,0.3184574
"Ame siwo nyae be gbɔgbɔmenuwo hiã yewo la kpɔa dzidzɔ , "" elabena woawo tɔe nye dziƒofiaɖuƒe la . ""","Those conscious of their spiritual need are happy , "" since the kingdom of the heavens belongs to them . """,,"And they were all filled with the Holy Spirit and began to speak with other tongues, as the Spirit was giving them utterance.",0.32396305
