text,ref,Unnamed: 2,translated,similarity_score
Ame geɖe xa nu vevie ɖe Yesu ƒe ku la ta ; wotrɔ dzime eye woxɔ nyɔnyrɔ .,Many were stabbed to the heart over Jesus ' death ; they repented and were baptized .,,Many people left their homes and followed Jesus because of his death; they repented and were baptized.,0.72467613
Ame geɖe xɔe se be Satana le dzo mavɔ me le anyigba ƒe titina .,Many believe that Satan resides in a fiery hell at the center of the earth .,,Many people believe that Satan is in charge of the world from the beginning.,0.6069174
"Ame geɖewo metea ŋu doa dzi tena ɖe apostoloawo ŋu tututu o , ke ha ̃ ame sia ame tsɔ bubu tɔxɛ blibo na wo .",And of the rest durst no man join himself to them : but the people magnified them .,,"Some people were complaining about the Jews and began to accuse the apostles, but all who were there gave them their full support.",0.40243894
Ame kae ate ŋu akpe ɖe mía ŋu ?,Who can help us ?,,Who should we thank?,0.29458743
Ame kae na ŋutsu kple nyɔnu gbãtɔ la wɔ ɖeka le srɔ ̃ ɖeɖe me ?,Who united the first human pair in marriage ?,,Who was the first man and woman to live on earth?,0.70210963
"Ame kawoe nye vɔvɔli na Yesu , eye le mɔ kawo nu ?","Who foreshadowed Jesus , and in what ways ?",,"Who is the greatest follower of Jesus, and what is the greatest thing?",0.39183047
Ame si ŋu wokpe ɖo alea la ' xɔa nya si wòse la dea eme ale gbegbe be eva kana ɖe nyaa dzi . ',"The one persuaded is "" so convinced that [ he ] puts confidence in someth [ ing ] . """,,The person you trust so much is the one who will carefully take the words you said and twist them into something else.,0.33360055
"Ame sia ame ate ŋu ade woƒe kpekpeawo faa . Kpekpe siwo wowɔna le kwasiɖaa me la dometɔ ɖekae nye esi woyɔna be Teokrasi Subɔsubɔ Suku , eye ekpena ɖe hamea me tɔwo ŋu be woabi ɖe nufiafia , nuxexlẽ kple numekuku me .","One of their weekly meetings , the Theocratic Ministry School , helps congregation members develop teaching , reading , and research skills .",,"Each person has their own beliefs. One of the most common religions in the world today is called Theocracy Worship School, and it emphasizes that parents should teach their children about faith, health, and cleanliness.",0.46541095
"Ame siawoe nye ame nyuitɔ kekeake siwo medo goe kpɔ . """,I found these people to be among the nicest I have ever met .,,All these are people who have never experienced love.,0.34508136
"Ame siwo katã le "" hell "" la ɖeɖe tso eme fia be woagbɔ agbe ame siwo katã Mawu bu be wodze be woafɔ wo ɖe tsitre la .","Emptying "" hell "" will mean restoring to life all those whom God judges worthy of a resurrection .",,"Everyone who is in ""hell"" actually came out of it to tell that they will take the life of everyone whom God has judged that they have sinned and placed them in torment.",0.6272209
