ref,text,translated,similarity_score,source_zip_file,chrf_sentence,corpus_bleu,corpus_chrf
"Finally, the disciples understood that Jesus wasn't talking about the yeast used to make bread, but about the teaching of the Pharisees and Sadducees. Who Is Jesus? (Mark","Able ko yɛ badɔkpasi ba benu le ese si ɔzɛsi ba si bezeni aŋu ní aklã mɛ binyasi dɔ mɛ su, boŋu i azɛɛpani ní Farisianɛ ma ni Zadukianɛ ma bidɔbasɛbasɛ ʋɛ su. Petro adra Yesu su",Peter said to Jesus,0.5290565,output_jonathan,5.1430759437772045,1.7256245272235644,3.36021505376344
"So God's promise came true, just as Isaiah the prophet had said,","Abitɛ lɛ nite atɔ yikɔ ebu í basɛ si, liboe lɛ gi Aya apani agani yɛ oboedoplɛ Yesaya aʋa ɛ liba lɛ mɛ si:","And it shall come to pass in the last days, that the mountain of the Lord's house shall be established in the top of the mountains, and it shall be exalted above the hills; and all nations shall flow unto it.",0.4760297,output_jonathan,16.109048134159064,1.7256245272235644,3.36021505376344
"Jesus went with his disciples to a place called Gethsemane. When they got there, he told them, “Sit here while I go over there and pray.”","Lɛ Yesu ni yɛ badɔkpasi ba bɛtrɛ ní ɔkutɔ gi bizɛxwa si Getsemane e, lɛ asi ba si, “Mleze ní ya tɔ mitrɛ ní ɔtɔ nɔ kɔlɔ tɔ mizɛɛxwa Aya.”","When Jesus had gone to the garden of Gethsemane with his twelve disciples, he said to them, “Sit here while I go over there and pray.”",0.8941156,output_jonathan,60.961519770247975,1.7256245272235644,3.36021505376344
"When Jesus went into the home of the official and saw the musicians and the crowd of mourners,","Agi Yesu eti eku ní Yudanɛ ma ɔkaɛ yɛ kepea mɛ ɛ. Amɔ bebemidzikpɛ ba ní banama gi bebemi okpo ye e,","The Lord Jesus said to Judas, ""Why have you come here? What you are about to do, do it quickly.""",0.4560749,output_jonathan,16.77042951808633,1.7256245272235644,3.36021505376344
"The girl hurried back and told Herod, “Here and now on a serving plate I want the head of John the Baptist!”","Ɔdzɛʋi yɛ akɔsi edzi atrɛ ní Okusi ye Herodes klɔ, lɛ asi yɛ si, “Mapɛ si kɔ Yohanes Kuni yo ɔkpɛkpɛ yɛ litukpo le trɔ ní kitɛɛ aʋa ki mɛ tɔ mizɛ ablahate!”","The king said to Herod's servant, ""Go and call John the Baptist to come and baptize me, so that I may receive forgiveness of sins!""",0.64011306,output_jonathan,32.519795572696744,1.7256245272235644,3.36021505376344
The man went away into the region near the ten cities known as Decapolis and began telling everyone how much Jesus had done for him. Everyone who heard what had happened was amazed. A Dying Girl and a Sick Woman (Matthew,"Gi onyimee asɛ nite e, aklanɔ ní Ima Liɔfɔ lɛ pɔ́ mɛ. Asi banima petee kidiliɛ gi Yesu abitɛ aki yɛ ɛ. Lɛ loso banama petee gi benu yɛ kupaniɔ ɛ, ba inugu itse. Yesu ayɔ ni Yairo yɛ obidzɛɛ nì ɔdzɛɛ liɛ su gi ika lɛ kunyaa kwize e","And it happened that a leper came to Jesus and knelt before him and said, ""Lord, if you are willing, you can make me clean."" Jesus stretched out his hand and touched him and said, ""I am willing. Be clean!"" Immediately he was cleansed of his leprosy. Then Jesus ordered him, ""Go, show yourself to the priest and offer the gift that Moses commanded, as a testimony to them.""",0.4799255,output_onesimus007,27.45462863784554,1.7256245272235644,3.36021505376344
Then they sang a hymn and went out to the Mount of Olives. Peter's Promise (Mark,"Lɛ gi bɛza ɔdzi tole e, bedo etrɛ ní Olif ye ise le ketokpa aʋa a. Yesu edo aplɛ si Petro aanada yɛ","When they had eaten and were satisfied, Jesus said to Peter, ""Do you love me more than these?"" Peter replied, ""Yes, Lord, I love you.""",0.50754535,output_onesimus007,26.28397663192536,1.7256245272235644,3.36021505376344
"“That is what you say!” Jesus answered. “But I tell all of you, ‘Soon you will see the Son of Man sitting at the right side of God All-Powerful and coming on the clouds of heaven.’ ”","Lɛ Yesu ebu le onu akí yɛ si, “lilɛ ní lɛ mɛ kiliɛ gi wɔpani i.” Pɔ̀ mɛsi mlɔ si: Lipoe le litrába gi mlɛtramɔ Ɔnɔɛ Yebi ye gi odi i ní Aya kigagla ɛ petee onetee yɛ kaŋawla mɛ ɛ, xe atrába dɔni lifunu ne ní aplɛ la mɛ ɛ.","When Jesus had finished speaking, he said, ""It is finished, I have completed the work that the Father gave me to do."" Then he bowed his head and gave up his spirit. And the curtain of the temple was torn in two from top to bottom, and the earth shook, and the rocks were split, and the graves were opened, and many bodies of the saints who had fallen asleep were raised.",0.46760613,output_onesimus007,21.793310008163918,1.7256245272235644,3.36021505376344
"The Son of Man will send out his angels, and they will gather from his kingdom everyone who does wrong or causes others to sin.","Ɔnɔɛ Yebi ye atrákpɛ yɛ baxwɛdzɛ ba tɔ biakpɛ banama gi bɛki banima bɛta kese e ni banama gi bɛbitɛ eboe zimizi na a likpɔ dɔni yɛ kaʋaŋaa mɛ,","The old man said that the forest is a big house where we live and our ancestors also lived, so we should take care of it, because it is our heritage and we will leave it for our children.",0.10625827,output_onesimus007,24.494365949035554,1.7256245272235644,3.36021505376344
"Teacher, Moses wrote that if a married man dies and has no children, his brother should marry the widow. Their first son would then be thought of as the son of the dead brother.","“Ɔdɔbasɛ yɛ, Mose asi blɔ sì xe onyime ɔtɔ agbani ɔdzɛ pɔ̀ bápɔ bebi xe etse e, lilɛ si yɛ oneminyime ɔgbani ɔtrɛtrɛ yedze tɔ bapɔ bebi aki yɛ ɔtrɛtrɛɛ.","The old man said, Moses did not go to the farm yesterday because he was sick, but he will go tomorrow because he is feeling better now.",0.24281843,output_onesimus007,21.396016100420116,1.7256245272235644,3.36021505376344
