ref,text,translated,source_zip_file,chrf_sentence,corpus_bleu,corpus_chrf
"While Joseph was thinking about this, an angel from the Lord appeared to him in a dream. The angel said, “Joseph, the baby that Mary will have is from the Holy Spirit. Go ahead and marry her.","Agi azeegyo eboa la su edi i, Aya yɛ ɔxwɛdzɛɛ ebu isu ya abasɛ Yosef ní kulila mɛ. Lɛ akpɛ ɔna ní yɛ lipo si, “Yosef, Dawid yebie, wukíse lifu ní Maria kugbanɔɔ su u, lɛ ese linu si yɛ limɛ nɛ ɛ, Ɔfuɛfuɛ Dradra lɔ mɛ lidɔ ɔ.","An angel appeared to him in a dream, and said to him, ""Joseph, son of David, do not be afraid to take Mary as your wife, for the child conceived in her is from the Holy Spirit.",output_proprietary_batch1,40.71557851701718,35.67959457224729,4.904491481672689
"So the Lord's promise came true, just as the prophet Jeremiah had said,","Niteme liboe lɛ gi Aya yɛ oboedoplɛɛ Yeremya apani aplɛ ɛ,",When Aya gave birth to him as the prophet Jeremiah before you.,output_proprietary_batch1,38.21361718506886,35.67959457224729,4.904491481672689
"After King Herod died, an angel from the Lord appeared in a dream to Joseph while he was still in Egypt.","Ní Herodes kutseo kede e, Aya yɛ ɔxwɛdzɛɛ ebu isu ya abasi Yosef ní kulila mɛ ní Egipte,","When Herod died, the Lord's angel appeared to Joseph in a dream in Egypt,",output_proprietary_batch1,47.228258273675976,35.67959457224729,4.904491481672689
"But when he heard that Herod's son Archelaus was now ruler of Judea, he was afraid to go there. Then in a dream he was told to go to Galilee,","Pɔ̀ gi Yosef enu si Arxelao yɛ ɛɛŋa kukusi yo ní yɛka Herodes kutse o kede ní Yudea ɛ, ese lifu ne ki niklɔ kutrɛtrɛ. Agi bɛkpɛ yɛ ɔsã ní kulilaa mɛ loso e, ekyi atrɛ ní Galilea kesea mɛ.","Joseph heard that Archelaus was ruling in Judea in the place of his father Herod, and he was afraid to go there. But after being warned in a dream, he went to the region of Galilee.",output_proprietary_batch1,51.15341041518986,35.67959457224729,4.904491481672689
Do something to show you have really given up your sins.,Mlabitɛ eboa la gi aabasɛ si mlekyi ní mlɔ ina nɛ mɛ ɛ.,Mlabitɛ helped so that I could finish my work and go home to sleep.,output_proprietary_batch1,18.01694826520293,35.67959457224729,4.904491481672689
"Then a voice from heaven said, “This is my own dear Son, and I am pleased with him.”","Lɛ ole ɔtɔ ɛpani dɔni lifunu ne si, “Mobi ye liɛ ya yɛ madimɛ nɔ yɛ liboe liku me aŋu u!”","He said to the people of the village, ""Let's go and cultivate our farms and our cocoa farms as well!",output_proprietary_batch1,15.12700449838913,35.67959457224729,4.904491481672689
"But instead of staying in Nazareth, Jesus moved to Capernaum. This town was beside Lake Galilee in the territory of Zebulun and Naphtali.","Asɛ ní Nazaret lɛ adzɛ eze ní Kapernaum, gi onu ɔma ɔtɔ ní Galilea limu ne kutu ní Zebulon ni Naftali kuseo me e.","The one from Nazareth came to live in Capernaum, which is by the sea in the land of Galilee, in the territory of Zebulun and Naphtali.",output_proprietary_batch1,51.72820959375672,35.67959457224729,4.904491481672689
"You are the light for the whole world. A city built on top of a hill cannot be hidden,","“Mlalɛ ŋwisi kani aki kelea mɛ. Ɔma gi bɛtsa ní lito aʋa ɛ, óʋikpo o.","I will tell a story that happened to me. If you see a person here, he is not there.",output_proprietary_batch1,16.406471022919273,35.67959457224729,4.904491481672689
"Before you are dragged into court, make friends with the person who has accused you of doing wrong. If you don't, you will be handed over to the judge and then to the officer who will put you in jail.","“Xe ɔnutɔ akɔ liboe ní wɔ su ní otsixwakɔ ɔ, xe lipoe le lilɛ ɛ, ye liboe le nì yɛ xe litsixwawe le liana a. Xegi aní nite e, xe mleku otsixwaklɔ ɛ, aakɔ̀ wɔ kukpɛ awla ki otsixwa yɛ, kɔ yɛ kyɛ akɔ wɔ akpɛ awla aki bewukpɛ ʋa ɛ. Niteme si biakpɛ wɔ ligba.","If a person has a child and that child's name is Otsixwakɔ, then the child is a boy, and if the child is Litsixwawe, then she is a",output_proprietary_batch1,16.713150047426705,35.67959457224729,4.904491481672689
I promise you will not get out until you have paid the last cent you owe. Marriage,"Sugba sugba ɛ, níklɔ wɔaze kɔkpɛni lipoe lɛ gi wɔatsa liʋɛ kakaa gi bɛnya ɛki wɔ ɛ. Yesu abasi bidɔ ní ádzɛboe nì enyimeboe su u","But indeed, people did great work, and they built a very big house and lived in it. Jesus, God is good, who created and loves us.",output_proprietary_batch1,17.732233029543867,35.67959457224729,4.904491481672689
"You have heard people say, “Love your neighbors and hate your enemies.”","“Mleenu gi bɛpani si, ‘Mlalɔ mlɔ ahanuglɔ ba atɔ mlekyri mlɔ ahwafianɛ ma.’","The chief said to them, 'We will go hunting for three days and then return.",output_proprietary_batch1,15.88458894492946,35.67959457224729,4.904491481672689
But you must always act like your Father in heaven.,Mlaki si mlɔ kizezee me kiflɔ ŋwisi kiliɛ gi mlɔ Ɔka yɛ ní lifunu ne aflɔ kinɛ ɛ.,Mlaki went to the market and bought one yam. He went to Oka to the farm and planted cocoyam.,output_proprietary_batch1,14.543120642910692,35.67959457224729,4.904491481672689
"When you do good deeds, don't try to show off. If you do, you won't get a reward from your Father in heaven.","“Mledi lɛ aʋa si, mlakíbitɛ mlɔ eboe gbã na ní banima aŋu mɛ tɔ bamɔ ɔ. Pɔ̀ xe mlɛbitɛ nite, Ɔkaɛ ní lifunu ne ɔ́tratsa liʋɛ tɔtɔ ɛki mlɔ ɔ.","Mledi came, he slept in the forest for a long time and people thought he was dead. When he woke up, he saw a big snake and it coiled around him.",output_proprietary_batch1,16.81010799142155,35.67959457224729,4.904491481672689
"When you pray, don't talk on and on as people do who don't know God. They think God likes to hear long prayers.","“Xe wɔɛxwa Aya ɛ, wukízeege eboe la epio ŋwisi kiliɛ gi babubitɛ ba bizɛbitɛ kinɛ ɛ, lɛ ese linu si bebu si xegi ba eboe la ɛsrɛ ɛ, kɔ ba Aya enu aki ba ɛ.","When Aya was born, she was given a name on the seventh day by the elders of the family, and that name was to be called by everyone in the village, so they called her Aya.",output_proprietary_batch1,17.90854224030095,35.67959457224729,4.904491481672689
"If you forgive others for the wrongs they do to you, your Father in heaven will forgive you.","Lɛ “Xe mlɛkɔ banima eboe zimizi na ní mlɔ su i, kyɛ ba ɛ, mlɔ Ɔka ní lifunu ne fɛ aakɔ̀ mlɔ ani na kyɛ mlɔ.","And Xe saw all the many people, and that they went, but when they go, God's power will take them all and bring them.",output_proprietary_batch1,16.445912156241985,35.67959457224729,4.904491481672689
"But if you don't forgive others, your Father will not forgive your sins. Worshiping God by Going without Eating","Pɔ xe mlákɔ banima eboe zimizi na akyɛ ba ɛ, mlɔ Ɔka fɛ ɔ́trakɔ mlɔ eboe zimizi na ɛkyɛ mlɔ. Yesu abasi bidɔ ní onugu nyanya su","If you want to give birth to a child and it is born, you will give birth and it will be your child, and it will be yours. Jesus died for our sins.",output_proprietary_batch1,27.209026268991998,35.67959457224729,4.904491481672689
Look at the birds in the sky! They don't plant or harvest. They don't even store grain in barns. Yet your Father in heaven takes care of them. Aren't you worth much more than birds?,"Mledi liwɔ lɛ mɛ kudzɔʋi yɔ; kuʋíkpɛ bidɔ loo vini bidɔ kɔbla ní owle me, pɔ fɛ ɛ mlɔ Ɔka yɛ ní lifunu ne e izeedi kɔ aʋa. Mláŋa kedzi asani kɔ na a?","Formerly, in this town, there was a war; young children and old women were killed, everyone ran to Oka and hid themselves from the war. Now, how will people live?",output_proprietary_batch1,18.789668503137907,35.67959457224729,4.904491481672689
Everyone who asks will receive. Everyone who searches will find. And the door will be opened for everyone who knocks.,"Lɛ ese linu si, ɔnɔ kakaa gi eeʋi bidɔ ɛ, bizɛki yɛ, lɛ ɔnɔ kakaa gi ɛɛpɛ bidɔ ɛ, aamɔ ʋɛ ɛ, ɔnɔ kakaa gi aasa opupo lo e, biadra lɔ ɔki yɛ.","If it is like this, when the old woman goes to fetch water and returns, and she sees the water she has fetched, she will pour it out and fetch another.",output_proprietary_batch1,17.445662510810408,35.67959457224729,4.904491481672689
"But I will tell them, “I will have nothing to do with you! Get out of my sight, you evil people!” Two Builders (Luke","Nite si maasi ba wee si, “Méte mlo liwewe e, Mlasɛ ní mɛ su, mlɔ banɔ dovo ba!” Bagbawa tiaʋa ba a","Nite and Maasi came and said, ""Let's go to the forest, Mlasɛ and his people, let's go and hunt a deer!"" They went to the forest.",output_proprietary_batch1,16.067212565056664,35.67959457224729,4.904491481672689
"So God's promise came true, just as the prophet Isaiah had said, “He healed our diseases and made us well.” Some Who Wanted To Go with Jesus (Luke","Abitɛ lɛ nite tɔ yiki liboe lɛ gi Aya yɛ oboedoplɛ Yesaya apani i liba lɛ mɛ si, “Akɔ blɔ kubotsobotsoo atrɔ isu ya aʋa lɛ etu blɔ bànya ʋa.” Banɔ tiaʋa bɛpɛ si biakuni Yesu kude","It is written in the book of the prophet Isaiah, saying, ""Prepare the way for the Lord, make his paths straight."" This is the one about whom Jesus spoke.",output_proprietary_batch1,25.928981020757107,35.67959457224729,4.904491481672689
"After Jesus left in a boat with his disciples,",Yesu emu eku ní katapokpaa mɛ lɛ yɛ badɔkpasi ba bekuni yɛ kude e.,"Jesus came and healed the sick people, the blind, and the lame.",output_proprietary_batch1,18.688923802284897,35.67959457224729,4.904491481672689
