ref,text,translated,similarity_score,source_zip_file,bleu_score,chrf_score,avg_score
"But the shepherds of Gerar Valley quarreled with Isaac's shepherds and claimed the water belonged to them. So this well was named “Quarrel,” because they had quarreled with Isaac.","Ka Gera na'akemnib zab nɛ Isaak na'akemnib ka yɛl ye ku'om la anɛ bam bʋn, ka o pʋd bulig la ye Esek, ka li anɛ ban da zab nɛ o la zug.","And Isaac lived and became a man, and he went out to the field to meditate, and he looked up and saw a well of water, and he went down to the well and drew water.",0.54407674,output_mich001,1.6337196277047001,21.082573012316605,11.358146320010652
"After Isaac had been there a long time, King Abimelech looked out a window and saw Isaac hugging and kissing Rebekah.","Isaak n da bɛ teŋ la nii yuug la, Na'ab Abimelek onɛ an Filistia dim na'ab la gɔs nɛ takoro ni ka nyɛ ka Isaak di'emid nɛ Rebɛka.","Isaac lived in the land of the Philistines, and he was well-off. He had become a wealthy man, and he lived in Gerar.",0.45855898,output_mich001,2.257394309242011,21.75602501524529,12.006709662243649
"When Jacob got up early the next morning, he took the rock that he had used for a pillow and stood it up as a place of worship. Then he poured olive oil on the rock to dedicate it to God,","Bɛogʋ da bɔɔd nier la, ka Jakob nɔk kugkanɛ ka o sa kʋk la ba'a zi'el sappi nwɛnɛ zan'antɔlig nɛ, ka nɔk kpaam kpa'ae niŋi li zug.","The man went to the forest to cut wood, and Jacob saw him and said to him, ""Why are you cutting down the trees?"" and he said to him, ""I am cutting them down to build a house.""",0.5757546,output_mich001,1.4155426458440634,20.623180897933384,11.019361771888724
", he had a son named Mahalalel.",") la, o da du'a Mahalaleel.",This is the genealogy of Mahalaleel.,0.6570279,output_mich001,5.693025330278465,31.839819078593784,18.766422204436125
"“I'm about to die,” Esau answered. “What good will those rights do me?”","Ka Esau lɛbis ye, “Gɔsima, m kpiidnɛ, ka kpɛuŋ faar la sʋm an bɔɔ tisi ma?”","“Gosima, my father, can you please tell me what happened?”",0.41706076,output_mich001,5.075712721076898,13.821207219706425,9.448459970391662
"“Sir,” they answered, “you are an important man. Choose the best place to bury your wife. None of us would refuse you a resting place for your dead.”","“Ti zugdaana, wʋmma! Fʋ anɛ Wina'am na'abiig ka bɛ nɛ ti kpɛla, gɔsimi ti yaad zin'igin wʋsa ka fʋn bɔɔd ye fʋ mumi fʋ kum zin'isi'a wʋsa fʋn mum! Ti sɔ' kʋ kadif ye fʋ da mum kum yaadin nwaa.”","“You are welcome, my child! Since you have come to Wina'am, let us go and eat, so that you can be strong and have the strength to return to your mother! I will give you something to eat so that you can return to your mother strong.”",0.35379204,output-onesimus_003,2.063074386567063,23.104895854876066,12.583985120721564
"Now I want you to promise in the name of God that you will always be loyal to me and my descendants, just as I have always been loyal to you in this land where you have lived as a foreigner.”","Alazug, pɔɔm Wina'am ye fʋ kʋ maal mam bɛɛ m biis bɛɛ m yaas bɛ'ɛdɛ. Mam maalif sʋ'ʋŋa, alazug, pɔɔm ye fʋ mɛ na maal man nɛ m teŋgbauŋ kanɛ ka fʋ zin' la sʋm.”","The one who is called Wina'am, he will give you what you need, he will give you what you want, he will give you what you desire. He will give you everything, the one who is called Wina'am, he will give you what you need, he will give you what you want, he will give you what you desire.",0.3401143,output-onesimus_003,0.9209909909019827,21.417721172594874,11.169356081748429
"One day, Sarah noticed Hagar's son Ishmael playing, and she said to Abraham, “Get rid of that Egyptian slave woman and her son! I don't want him to inherit anything. It should all go to my son.”","Ka o yɛl Abraham ye, “Kadim pu'a kanɛ an yammʋg la nɛ o biig la ya'a ka' alaa o biig la na ti pʋdig faar la nɛ mam biig Isaak.”","Then Abraham said, “Take your son, your only son, whom you love—Isaac—and go to the land of Moriah, and offer him there as a burnt offering on one of the mountains that I will show you.”",0.50994265,output-onesimus_003,3.686104868636329,25.24521196993696,14.465658419286644
Jacob also noticed that Laban was not as friendly as he had been before.,Ka Jakob nyɛ ka Laban bɛllim zaŋi ken o san'an pʋ lɛn nwɛnɛ lin da an si'em la.,"When Jacob came to Laban's house, he served him for seven years for Rachel.",0.43610865,output-onesimus_003,3.21858262703621,20.65771869726457,11.93815066215039
"When the chief cook saw that Joseph had given a good meaning to the dream, he told Joseph, “I also had a dream. In it I was carrying three breadbaskets stacked on top of my head.","Onɛ an bodobodo maannib kpɛɛm la nyɛ ka Josef tu'as o tiraan la yɛla ka li malis la, o yɛl Josef ye, “Mam mɛ sa zaansimnɛ ka bodobodo pɛɛd atan' bɛɛ m zugin,","When he arrived at the place where Joseph was, he said to Joseph, “My lord, please forgive me for the wrong I have done to you. I know that I have sinned against you.",0.40955442,output-onesimus_003,3.5566665300418143,26.882086055898313,15.219376292970063
"Then Sarai said to Abram, “It's all your fault! I gave you my slave woman, but she has been hateful to me ever since she found out she was pregnant. You have done me wrong, and you will have to answer to the Lord for this.”","Ka Sarai yɛl Abram ye, “Nɛ'ɛskaŋa wʋsa yinɛ fʋ san'an na! Manɛ nɔki m yammʋgi tisif, ka on yʋ'ʋn nyɛ ka o mɔr pʋʋg la o pʋ lɛn na'asid mam ya'asa. Zugsɔb la na gaŋ onɛ mɔr bʋʋd mam nɛ fʋn sʋʋgin!”","“My son Abram, listen to me! Do not be afraid, for I will be with you. I will bless you and make your name great; and you shall be a blessing. I will bless those who bless you, and whoever curses you I will curse; and all the peoples on earth will be blessed through you.”",0.53184164,output_datgerhardt,2.8784848675241252,25.03049418054865,13.954489524036388
"God blessed Ishmael, and as the boy grew older, he became an expert at hunting with his bow and arrows. He lived in the Paran Desert, and his mother chose an Egyptian woman for him to marry. A Peace Treaty",O da zin'inɛ Paran sian'arin ka o ma bɔ pu'a Egipt teŋin na n tis o. Abraham nɛ na'ab Abimelek n naal nɔɔr si'em,"And the people of Paran said to him, ""Go, and let us go with you to Egypt, for there is plenty of food there."" Abraham and his brother Abimelech went and stayed in the land of Gerar.",0.51662266,output_datgerhardt,3.656041765578834,25.86135348913557,14.758697627357202
"God gave them his blessing and said: Have a lot of children! Fill the earth with people and bring it under your control. Rule over the fish in the ocean, the birds in the sky, and every animal on the earth.","Ka Wina'am niŋi ba zug bareka ka yɛl ye, “Du'am nɔbigi pɛ'ɛli teŋgbauŋ la, ka sʋ'oe teŋ la, nɛ zimi banɛ bɛɛ atɛukʋn, nɛ niis banɛ bɛɛ agɔl, nɛ bʋnvʋya banɛ wʋsa ken teŋin la.”","If you are going to the market, please buy some meat, some fish, some vegetables, and some fruits.",0.13136591,output_datgerhardt,1.5266465948056842,14.384668218801178,7.9556574068034305
"and he told her: “Your two sons will become two separate nations. The younger of the two will be stronger, and the older son will be his servant.”","Ka Zugsɔb yɛl o ye, “Buudi ayi' bɛɛ fʋ pʋʋgin la, Nidiba ayi' ka fʋ ye fʋ du'a. Fʋ ya'a du'a ba, ba na pʋdig kɔn'ɔb-kɔn'ɔb. Ka yinne la na mɔr paŋi gat o tiraan, ka kpɛɛm la na lieb o pitʋ la tʋmtʋm.”","When the wind blows, it says, “The Buudi tree will bend, but the Nidiba tree will not bend. When the wind blows, it bends back and forth. When the wind blows, it shakes the leaves of the tree, and when it blows, it makes the leaves rustle.",0.22870363,output_datgerhardt,2.266105731214982,21.287834396532734,11.776970063873858
"Then the Lord said: Why have you done this terrible thing? You killed your own brother, and his blood flowed onto the ground. Now his blood is calling out for me to punish you.","Ka Zugsɔb la yɛl ye, “Bɔɔ nwa' ka fʋ tʋm? Kɛlisim, fʋ pitʋ la ziim kaasid teŋin paadi m san'an na!",Where is the food? I am hungry. Please bring me some food quickly!,0.07510924,output_datgerhardt,0.8686174151993091,10.01954462572038,5.444081020459844
At that time the Lord made an agreement with Abram and told him: I will give your descendants the land east of the Shihor River on the border of Egypt as far as the Euphrates River.,"Daakan la ka Zugsɔb la maal nɔnaar nɛ Abram ye, “M na kɛ ka fʋ yaas sʋ'oe teŋgbauŋ nwa' wʋsa, lin yi Egipt teŋ titɔndig la paae Efiritis kɔldatita'ar la nɛ","Then Zugsɔb said to Abram, “I will take you from your country and your people and bring you to a land that I will show you.",0.54147345,output_mich002,2.6426280462739062,16.833713130475164,9.738170588374535
"They kept on wrestling until the man said, “Let go of me! It's almost daylight.” “You can't go until you bless me,” Jacob replied.","Ka dau la yɛl o ye, “Kɛl ka m keŋ, ka bɛog nie ya.” Ka Jakob lɛbis ye, “M kʋ basif ka fʋ keŋɛ asɛɛ ka fʋ niŋi m zug bareka.”","And he said to him, “Go and tell him, ‘Let him come to me.’ Then Jacob answered, ‘I will go and tell him, but I am afraid.’”",0.69699275,output_mich002,1.7759256642433823,18.465042784585155,10.120484224414268
"After that, they brought in food. But the servant said, “Before I eat, I must tell you why I have come.” “Go ahead and tell us,” Laban answered.","Ba daa mɔr diib na tisi ba ka o ye, “M ya'a pʋ yɛli ya man kɛn si'el yɛla la na, m kʋ di si'ela.” Ka Laban lɛbis ye, “Ka yɛlimi ti!”","Then the man said to him, “I will give you a gift, but only if you tell me the truth. I want to know the truth.” Laban said, “Tell me what you want to know!”",0.6482661,output_mich002,3.5818158711745243,23.705868747724377,13.64384230944945
"Jacob said, “Now tell me your name.” “Don't you know who I am?” he asked. And he blessed Jacob.","Ka Jakob yɛl ye, “M sɔsidif nɛ, yɛlimi fʋ yʋ'ʋr!” Ka o lɛbis ye, “Ka bɔ ka fʋ bu'osidi m yʋ'ʋrɛ?” Ka niŋ o zug bareka anina.","Then Jacob said, “I will not let you go unless you bless me!” And he said, “What is your name?” Then Jacob said to him, “My name is Jacob.”",0.8794271,output_mich002,7.252037707191915,36.65689361558198,21.954465661386948
Lotan's sons were Hori and Heman; his sister was Timna.,Lotani biribis nwa': Hori nɛ Hemam. Timna da anɛ Lotani taʋn.,Lotani is a beautiful woman: Hori and Hemam. Timna is the one who married Lotani.,0.7598425,output_mich002,5.10809933294318,36.31521193965018,20.711655636296683
"Isaac asked, “My son, how did you find an animal so quickly?” “The Lord your God was kind to me,” Jacob answered.","Ka Isaak bu'os o biig la ye, “Fʋ niŋ wala paami li tɔ'ɔtɔ ala m biiga?” Ka o lɛbis ye, “Zugsɔb Wina'am la sʋŋim.”","And Isaac said to him, “Where did you get this?” And he said, “From the Lord my God.”",0.6610935,nsanku_output_kcn,4.755071299309407,22.629037305056624,13.692054302183015
"When the messengers returned, they told Jacob, “We went to your brother Esau, and now he is heading this way with","Banɛ ka Jakob tʋmi ba la da lɛb na n yɛl ye, “Ti keŋi paae fʋ bier Esau san'an, ka o mɛ bɛ suori kenna ye o nyɛɛf; o mɔri dap kɔbisnaasi kenna.”","Then Jacob said to his father, “My father, I am Esau, your firstborn. Please bless me.”",0.7094421,nsanku_output_kcn,4.3143393655527165,20.45205564475296,12.383197505152838
