text,ref,Unnamed: 2,translated
"Beni mikase nii kɛshɛ he ko lɛ , mibale nibii babaoo yɛ Yehowa he , ni no ha mitsi mibɛŋkɛ lɛ .","As my studies progressed , I learned many things about Jehovah that drew me to him .",,"I am grateful for the blessings you have given, we will continue to serve Jehovah, and we will keep praising Him."
"Beni mina anɔkwale lɛ sɛɛ nɔŋŋ kɛkɛ ni minyɛ gbo , ni ebalɛ akɛ esa akɛ maku misɛɛ kɛya North Carolina kɛha eyarafeemɔ .","Soon after I accepted the truth , my mother passed away , and I had to return to North Carolina for her funeral .",,"I'm very happy that I'm here, and I will also go to North Carolina soon."
"Beni mina lɛ nɔ ni ji naagbee nɔ lɛ , ekɛ etoii ni gbokɛlɛfoi ahe bulɔi lɛ kɛ tu sɛɛ tsei efite lɛ kwraa lɛ tsɔɔ mi .","When I last saw him , he showed me his ears that prison guards had smashed with rifle butts .",,"I'm not sure what you're saying, and the person who keeps shouting at me is really getting on my nerves."
"Beni mitee helatsamɔhe lɛ , no mli lɛ kpiti lɛ ehe shi yɛ mimli .","By the time I went to the hospital , the leprosy had taken a firm hold .",,"When I saw you, my heart stopped beating."
"Beni mɔ fɛɛ mɔ baaye emuu lɛ , toiŋjɔlɛ he naatsii ko ehiŋ shi","When everyone is perfect , there will be no obstacles to peace",,I'm not going there because I'm busy
"Beni mɛi krokomɛi ni yɔɔ jɛmɛ lɛ na Kristofonyo nɛɛ shidaamɔ ni yɔɔ ekãa lɛ , amɛ hu amɛkpoo baai lɛ .","On seeing this Christian 's fearless stand , others in attendance likewise refused the herbs .",,We are grateful for the help that Christopher gave us and we will continue to support each other.
"Beni shitsalɔ Austen Layard wieɔ maŋtsɛmɛi awe ni eyana yɛ Ashur maŋtiase Ninive lɛ fã ko he lɛ , eŋma akɛ : "" Ajara . . . tsũ lɛ mligbɛ yiteŋ lɛ mli awo fãi ni hiɛ koji ejwɛ ni kɛlɛmɔ yeɔ egbɔ mli , ni atɛŋ fɔfɔii loo atɛŋ kooloi ahe mfonirii yɛ nɔ .","Describing one section of a royal palace that he had uncovered in the Assyrian capital of Nineveh , archaeologist Austen Layard wrote : "" The ceilings . . . were divided into square compartments , painted with flowers , or with the figures of animals .",,"When Austen Layard arrived at the ruins of Ashur and the city of Nineveh, he exclaimed: “Ah… the walls are so high, the stones are massive, and the whole place is filled with the remnants of a great civilization.”"
"Beni wɔbɔɔ mɔdɛŋ ni wɔpɛi agora lɛ blema shihilɛ lɛ mli lɛ , nyɛhaa wɔshia hoofeemɔ kɛ gidigidifeemɔ ni yɔɔ ŋmɛnɛŋmɛnɛ beaŋ maŋtiase lɛŋ , ni wɔyi mli kɛtsɔ nane gbɛ ̀ i kɛ enɔ ŋmilitsa lɛ anɔ , yɛ marmaratɛi ni efite kɛjwere shi lɛ ateaŋ , yɛ tɛi ni akpɛ lɛ ateaŋ , kɛ agbói ni efufulu ni jwɛi ni etsa kusuu yɛ nɔ lɛ ateaŋ .","In an effort to examine the agora 's past , let us leave behind the noise and bustle of the modern - day city and make our way along gravel paths , in among the silent marble ruins , the carved stones , and the crumbling portals overgrown with weeds and wild herbs .",,"We have been told that the current situation is very serious, and we must act quickly and decisively because the repeated failures are causing great harm to the community, and we must therefore take strong measures now; we need to be united and work together, we must be brave and determined, and we must protect our land, our people, and our future."
"Beni yinɔsaneŋmalɔ Datrɛfonyo de Jong wieɔ tawuu be mli Odasefoi nɛɛ ahe lɛ , ekpɛlɛ nɔ akɛ : "" Amɛteŋ mɛi babaoo diɛŋtsɛ sumɔɔɔ akɛ amɛaakwa amɛhemɔkɛyeli lɛ yɛ hegbeyeiwoi kɛ piŋmɔ lɛ fɛɛ sɛɛ . ""","Speaking about these wartime Witnesses , historian Dr . de Jong acknowledges : "" The very great majority of them refused to deny their faith in spite of threats and torture . """,,"We are grateful to Datrɛfonyo de Jong for his great help to the community, and we say: “We will continue to work together with love and dedication for the benefit of all.”"
Betel nifeemɔi ni minyaa he waa lɛ ateŋ ekome ji leebi jamɔ ni Nyɛminuu Knorr kwɛɔ nɔ lɛ .,"One of my favorite times at Bethel was morning worship , conducted by Brother Knorr .",,Betel and I went to the market to buy some fresh fish and Nyɛminuu Knorr sauce.
