text,ref,Unnamed: 2,translated,similarity_score
"Beni mikase nii kɛshɛ he ko lɛ , mibale nibii babaoo yɛ Yehowa he , ni no ha mitsi mibɛŋkɛ lɛ .","As my studies progressed , I learned many things about Jehovah that drew me to him .",,"We know that God is our Father, and that is why we call him Jehovah, and we do his will.",0.46085602
"Beni mina anɔkwale lɛ sɛɛ nɔŋŋ kɛkɛ ni minyɛ gbo , ni ebalɛ akɛ esa akɛ maku misɛɛ kɛya North Carolina kɛha eyarafeemɔ .","Soon after I accepted the truth , my mother passed away , and I had to return to North Carolina for her funeral .",,"My mother told me that when I grow up, I will go to school, and I will become a big person in the city of North Carolina in America.",0.35750732
"Beni mina lɛ nɔ ni ji naagbee nɔ lɛ , ekɛ etoii ni gbokɛlɛfoi ahe bulɔi lɛ kɛ tu sɛɛ tsei efite lɛ kwraa lɛ tsɔɔ mi .","When I last saw him , he showed me his ears that prison guards had smashed with rifle butts .",,"When I came here, I saw that the women were many, but the men were few, that is why I am advising you to take care of your wives.",0.062033467
"Beni mitee helatsamɔhe lɛ , no mli lɛ kpiti lɛ ehe shi yɛ mimli .","By the time I went to the hospital , the leprosy had taken a firm hold .",,"When I went to the farm, I saw a big snake in the bush.",0.24750173
"Beni mɔ fɛɛ mɔ baaye emuu lɛ , toiŋjɔlɛ he naatsii ko ehiŋ shi","When everyone is perfect , there will be no obstacles to peace",,My mother has gone to the farm with my younger sibling,-0.052833512
"Beni mɛi krokomɛi ni yɔɔ jɛmɛ lɛ na Kristofonyo nɛɛ shidaamɔ ni yɔɔ ekãa lɛ , amɛ hu amɛkpoo baai lɛ .","On seeing this Christian 's fearless stand , others in attendance likewise refused the herbs .",,"When I went to Krobo market and saw Christopher's sister, I was very happy and I ran to her.",0.02786514
"Beni shitsalɔ Austen Layard wieɔ maŋtsɛmɛi awe ni eyana yɛ Ashur maŋtiase Ninive lɛ fã ko he lɛ , eŋma akɛ : "" Ajara . . . tsũ lɛ mligbɛ yiteŋ lɛ mli awo fãi ni hiɛ koji ejwɛ ni kɛlɛmɔ yeɔ egbɔ mli , ni atɛŋ fɔfɔii loo atɛŋ kooloi ahe mfonirii yɛ nɔ .","Describing one section of a royal palace that he had uncovered in the Assyrian capital of Nineveh , archaeologist Austen Layard wrote : "" The ceilings . . . were divided into square compartments , painted with flowers , or with the figures of animals .",,"When Austen Layard excavated the palace of Ashur at Nineveh, he found this: ""I am . . . the king who built the palace for my royal residence, where I may dwell, and where the successors who come after me may also dwell.",0.68058443
"Beni wɔbɔɔ mɔdɛŋ ni wɔpɛi agora lɛ blema shihilɛ lɛ mli lɛ , nyɛhaa wɔshia hoofeemɔ kɛ gidigidifeemɔ ni yɔɔ ŋmɛnɛŋmɛnɛ beaŋ maŋtiase lɛŋ , ni wɔyi mli kɛtsɔ nane gbɛ ̀ i kɛ enɔ ŋmilitsa lɛ anɔ , yɛ marmaratɛi ni efite kɛjwere shi lɛ ateaŋ , yɛ tɛi ni akpɛ lɛ ateaŋ , kɛ agbói ni efufulu ni jwɛi ni etsa kusuu yɛ nɔ lɛ ateaŋ .","In an effort to examine the agora 's past , let us leave behind the noise and bustle of the modern - day city and make our way along gravel paths , in among the silent marble ruins , the carved stones , and the crumbling portals overgrown with weeds and wild herbs .",,"They went to the farm and cleared the land, then they planted maize and after some time they harvested it, they took it to the market to sell, and with the money they got, they bought food and clothes, and they also bought a goat and a sheep and a pig to raise at home.",0.20093897
"Beni yinɔsaneŋmalɔ Datrɛfonyo de Jong wieɔ tawuu be mli Odasefoi nɛɛ ahe lɛ , ekpɛlɛ nɔ akɛ : "" Amɛteŋ mɛi babaoo diɛŋtsɛ sumɔɔɔ akɛ amɛaakwa amɛhemɔkɛyeli lɛ yɛ hegbeyeiwoi kɛ piŋmɔ lɛ fɛɛ sɛɛ . ""","Speaking about these wartime Witnesses , historian Dr . de Jong acknowledges : "" The very great majority of them refused to deny their faith in spite of threats and torture . """,,"Beni asked Datrɛfonyo de Jong how it would be possible for someone to be a teacher and not be a servant, and he replied: ""If you are a teacher, you are a servant to the community, because you are serving the community, and that is what teaching is all about.""",0.26045713
Betel nifeemɔi ni minyaa he waa lɛ ateŋ ekome ji leebi jamɔ ni Nyɛminuu Knorr kwɛɔ nɔ lɛ .,"One of my favorite times at Bethel was morning worship , conducted by Brother Knorr .",,"When I went to the farm yesterday, I saw a big snake at the edge of the farm near Nyɛminuu Knorr's house.",0.2311638
