text,ref,Unnamed: 2,translated
"Beni mikase nii kɛshɛ he ko lɛ , mibale nibii babaoo yɛ Yehowa he , ni no ha mitsi mibɛŋkɛ lɛ .","As my studies progressed , I learned many things about Jehovah that drew me to him .",,"I am very grateful to you, and I want to thank Jehovah, and I will always remember you."
"Beni mina anɔkwale lɛ sɛɛ nɔŋŋ kɛkɛ ni minyɛ gbo , ni ebalɛ akɛ esa akɛ maku misɛɛ kɛya North Carolina kɛha eyarafeemɔ .","Soon after I accepted the truth , my mother passed away , and I had to return to North Carolina for her funeral .",,"I was born in a small village and grew up there, until my father said we should move to North Carolina for a better life."
"Beni mina lɛ nɔ ni ji naagbee nɔ lɛ , ekɛ etoii ni gbokɛlɛfoi ahe bulɔi lɛ kɛ tu sɛɛ tsei efite lɛ kwraa lɛ tsɔɔ mi .","When I last saw him , he showed me his ears that prison guards had smashed with rifle butts .",,"I am the one who saw the snake first, but he told the elders that he was the one who killed it and brought it to show me."
"Beni mitee helatsamɔhe lɛ , no mli lɛ kpiti lɛ ehe shi yɛ mimli .","By the time I went to the hospital , the leprosy had taken a firm hold .",,"When I looked at the child, he was lying on the floor and crying."
"Beni mɔ fɛɛ mɔ baaye emuu lɛ , toiŋjɔlɛ he naatsii ko ehiŋ shi","When everyone is perfect , there will be no obstacles to peace",,"If you see my father, tell him that I have gone to the farm"
"Beni mɛi krokomɛi ni yɔɔ jɛmɛ lɛ na Kristofonyo nɛɛ shidaamɔ ni yɔɔ ekãa lɛ , amɛ hu amɛkpoo baai lɛ .","On seeing this Christian 's fearless stand , others in attendance likewise refused the herbs .",,We were all gathered there at Christ's service on Sunday and we were also there when they dedicated the church building.
"Beni shitsalɔ Austen Layard wieɔ maŋtsɛmɛi awe ni eyana yɛ Ashur maŋtiase Ninive lɛ fã ko he lɛ , eŋma akɛ : "" Ajara . . . tsũ lɛ mligbɛ yiteŋ lɛ mli awo fãi ni hiɛ koji ejwɛ ni kɛlɛmɔ yeɔ egbɔ mli , ni atɛŋ fɔfɔii loo atɛŋ kooloi ahe mfonirii yɛ nɔ .","Describing one section of a royal palace that he had uncovered in the Assyrian capital of Nineveh , archaeologist Austen Layard wrote : "" The ceilings . . . were divided into square compartments , painted with flowers , or with the figures of animals .",,"The ruins that Austen Layard discovered and thought were the remains of the city of Ashur in Nineveh, he said: ""The walls... the foundations of which were found in the earth were built of stone, and some were adorned with the figures of wild or domesticated animals."""
"Beni wɔbɔɔ mɔdɛŋ ni wɔpɛi agora lɛ blema shihilɛ lɛ mli lɛ , nyɛhaa wɔshia hoofeemɔ kɛ gidigidifeemɔ ni yɔɔ ŋmɛnɛŋmɛnɛ beaŋ maŋtiase lɛŋ , ni wɔyi mli kɛtsɔ nane gbɛ ̀ i kɛ enɔ ŋmilitsa lɛ anɔ , yɛ marmaratɛi ni efite kɛjwere shi lɛ ateaŋ , yɛ tɛi ni akpɛ lɛ ateaŋ , kɛ agbói ni efufulu ni jwɛi ni etsa kusuu yɛ nɔ lɛ ateaŋ .","In an effort to examine the agora 's past , let us leave behind the noise and bustle of the modern - day city and make our way along gravel paths , in among the silent marble ruins , the carved stones , and the crumbling portals overgrown with weeds and wild herbs .",,"They built a round hut in the middle of the town's open space, where they held meetings and discussions to plan the community's development, and they also stored food and water there, including corn that had been dried in the sun, millet that had been threshed, and smoked fish that had been prepared for preservation."
"Beni yinɔsaneŋmalɔ Datrɛfonyo de Jong wieɔ tawuu be mli Odasefoi nɛɛ ahe lɛ , ekpɛlɛ nɔ akɛ : "" Amɛteŋ mɛi babaoo diɛŋtsɛ sumɔɔɔ akɛ amɛaakwa amɛhemɔkɛyeli lɛ yɛ hegbeyeiwoi kɛ piŋmɔ lɛ fɛɛ sɛɛ . ""","Speaking about these wartime Witnesses , historian Dr . de Jong acknowledges : "" The very great majority of them refused to deny their faith in spite of threats and torture . """,,"The Minister of Foreign Affairs, Stef Blok, said in a statement to Parliament that he had been informed that: ""We deeply regret that our actions have led to feelings of disappointment and mistrust among the people."""
Betel nifeemɔi ni minyaa he waa lɛ ateŋ ekome ji leebi jamɔ ni Nyɛminuu Knorr kwɛɔ nɔ lɛ .,"One of my favorite times at Bethel was morning worship , conducted by Brother Knorr .",,Betel's wife and children also came to meet him and they became the family of Nyɛminuu Knorr that we know today.
