Translation Benchmark Results for sfw-eng
Generated on: 2026-01-19 12:02:42

Model Performance:
gemini-2.5-flash: 64.88%
claude-sonnet-4-5: 59.40%
gpt-4.1: 55.59%
gemma2-9b-it: 44.28%
qwen3-32b: 40.83%
deepseek-v3.1: 37.51%
kimi-k2-instruct-0905: 36.47%
seed-oss-36b-instruct: 36.22%
llama-4-maverick-17b-128e-instruct: 35.43%
llama-3.3-70b-instruct: 35.06%
palmyra-med-70b: 34.33%
gemma-2-27b-it: 33.63%
mistral-medium-3-instruct: 33.31%
qwen3-235b-a22b: 31.53%
llama-3.1-405b-instruct: 29.80%
mistral-7b-instruct-v0.3: 29.10%
gpt-oss-120b: 28.51%
qwq-32b: 28.32%
gemma-2-9b-it: 25.57%

Best Model: gemini-2.5-flash (64.88%)
Average Score: 37.88%
