Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
claude-sonnet-4-5,44.67,24.58,34.63,44.672599136357924,24.579208592319706,34.62590386433882
gpt-4.1,43.85,22.59,33.22,43.853011187098424,22.591825665594467,33.222418426346444
gemini-2.5-flash,40.30,25.36,32.83,40.30240443066597,25.364066371622958,32.833235401144464
kimi-k2-instruct-0905,11.91,22.13,17.02,11.913791918421273,22.12658783640487,17.02018987741307
gemma2-9b-it,13.60,20.30,16.95,13.597796343834903,20.30078981497013,16.949293079402516
llama-3.1-405b-instruct,8.53,22.65,15.59,8.532121375289428,22.65058456585023,15.59135297056983
gemma-2-27b-it,9.09,21.00,15.05,9.094793996067798,20.999416160441235,15.047105078254518
qwen3-32b,9.26,19.93,14.59,9.257716846039994,19.925920135068957,14.591818490554475
deepseek-v3.1,6.33,22.47,14.40,6.327087675326759,22.47121778726159,14.399152731294175
llama-4-maverick-17b-128e-instruct,7.99,20.32,14.16,7.994607499472017,20.31997186739422,14.157289683433119
gemma-2-9b-it,9.88,17.49,13.69,9.883767213684743,17.493493133281646,13.688630173483194
seed-oss-36b-instruct,5.78,21.51,13.65,5.7783239927083425,21.511935942960335,13.64512996783434
mistral-medium-3-instruct,7.60,19.60,13.60,7.598178082164727,19.60342579933444,13.600801940749584
qwq-32b,6.27,20.92,13.59,6.26792496731575,20.919858406291134,13.593891686803442
llama-3.3-70b-instruct,6.68,19.79,13.24,6.682063801556247,19.787981130964344,13.235022466260295
qwen3-235b-a22b,6.96,19.41,13.19,6.964541799727335,19.40704626292678,13.185794031327058
gpt-oss-120b,8.85,16.87,12.86,8.847487574766278,16.8718613959407,12.85967448535349
palmyra-med-70b,4.11,20.11,12.11,4.109037038632824,20.10878458898191,12.108910813807366
mistral-7b-instruct-v0.3,4.09,19.18,11.63,4.085209105092391,19.180830611247913,11.633019858170151
