Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
llama-4-maverick-17b-128e-instruct,33.86,29.53,31.69,33.86023125301946,29.52547890398055,31.692855078500003
gemini-2.5-flash,34.25,25.91,30.08,34.24635366620794,25.91350745693648,30.07993056157221
mistral-medium-3-instruct,30.13,25.64,27.89,30.13364948880779,25.637802400304274,27.885725944556032
kimi-k2-instruct-0905,25.37,26.24,25.80,25.368241810340656,26.240892065502404,25.80456693792153
gpt-4.1,14.99,23.29,19.14,14.987316048204884,23.2901466233039,19.138731335754393
llama-3.3-70b-instruct,14.40,23.20,18.80,14.39615861437157,23.19870544752419,18.79743203094788
claude-sonnet-4-5,11.01,24.77,17.89,11.01400327188592,24.772203919457127,17.893103595671523
llama-3.1-405b-instruct,8.28,25.21,16.74,8.275827725351833,25.20846557941635,16.742146652384093
deepseek-v3.1,6.00,26.48,16.24,5.99523682828204,26.47858922183261,16.236913025057326
qwen3-32b,7.80,23.01,15.41,7.800772536265704,23.012872060028194,15.406822298146949
gemma2-9b-it,7.99,22.14,15.07,7.990659758624622,22.139723224846122,15.065191491735373
mistral-7b-instruct-v0.3,7.14,20.61,13.88,7.141816289329644,20.61348375485003,13.877650022089837
qwen3-235b-a22b,5.25,22.18,13.71,5.249498872986638,22.176567240363017,13.713033056674828
gemma-2-9b-it,4.17,22.64,13.40,4.1725893335624,22.63625144799451,13.404420390778455
qwq-32b,4.45,22.35,13.40,4.446201367538972,22.348322159517313,13.397261763528142
seed-oss-36b-instruct,2.27,24.15,13.21,2.2730239703449886,24.152019260552567,13.212521615448779
gemma-2-27b-it,4.04,21.10,12.57,4.037779214539987,21.101996303706237,12.569887759123112
palmyra-med-70b,1.98,20.86,11.42,1.9823349845176599,20.86133592906065,11.421835456789156
gpt-oss-120b,2.62,20.13,11.37,2.622286907573826,20.1252267559879,11.373756831780863
