ref,text,translated,similarity_score,source_zip_file,bleu_score,chrf_score,avg_score
But all of them are crooked and corrupt. Not one of them does right.,Amʋ́ fɛ́ɛ́ badamli ɔma ha Bulu. Amʋ́ fɛ́ɛ́ bafwɩ ɔkpa. Yile ɔbwɛpʋ ɔkʋkʋ má ɩnʋ. Ɔbakʋlɛ kʋraa mɛ́dalɩ amʋ́tɔ.,"Amou is the leader of his people, the Bulu. Amou is the warrior of the land. Yile protects the people and the village. The council decides the law for Amou's son.",0.18616325,output_mich001,1.533227700920213,19.79499529249637,10.664111496708292
"You, Lord God, are my protector. Rescue me and keep me safe from all who chase me.","Oo Nana Bulu, mɩ Bulu, fʋ nasrɩ tanʋ. Hɔ mɩ, afʋlɛ mɩ tsu aha ánɩ́ bʋdɩn mɩsʋ fɛ́ɛ́ ɩbɩtɔ.","Oh Nana Bulu, my Bulu, has the news arrived? And I heard that the people are coming with many villages.",0.28223866,output_mich001,2.352622489487909,15.638654716913363,8.995638603200636
"You have ignored me! So pay close attention or I will tear you apart, and no one can help you.","“Mɩsʋ atanpʋ, mlɩyi ɩnɩ oyibi. Nɩ megyi alɩ nɛ́tɩtɩ mlɩtɔ pransapransa, ɔhɔpʋ ɔkʋkʋ má ɩnʋá ɔbɔ́hɔ mlɩ.","""Missa is coming, he is going there. He is bringing the message to the French people, he is speaking with words and they are understanding him.""",0.14874993,output_mich001,1.526608193588886,13.958139553540228,7.742373873564557
"From east to west, the powerful Lord God has been calling together everyone on earth.","Bulu, Otumipʋ, Nana Bulu dɛtɔɩ. Alatɔɩ tɩ ɔyɩtɔ aha fɛ́ɛ́, tsu owi ɔdalɩkpa yeyi mʋ́ ɔkplɩwiekpa.","Bulu, Otumipʋ, Nana Bulu the speaker. Alatɔɩ said, ""I am the one who..."", said the group of ɔdalɩkpa and the ɔkplɩwiekpa.",0.26607424,output_mich001,1.526608193588886,15.009672138261514,8.2681401659252
My awful worries keep growing. Rescue me from sadness.,Nwɛla ɩtɔ mɩ klʋntɔ. Lɛ mɩ tsu mɩ ɩkplantɔ.,Nwɛla has a client. He is planting a plant.,0.14508438,output_mich001,4.456882760699063,8.4251709615682,6.441026861133632
You give me strength and guide me right.,"Mʋtɔwa mɩ ɔwʋnlɩn, ɔtɛha ɔkpatɔ tolwii ha mɩ pisii.",Mʋtɔwa is going to work at the place and prays.,0.3125946,output-onesimus_003,4.456882760699063,12.880660043057457,8.66877140187826
All who want to kill me will end up in the ground.,Tamɛ aha ánɩ́ bʋdɛ mɩ lowu kle bɔ́yɔ afulitɔ.,Tamɛ says that the children come with the friend to play.,0.060320884,output-onesimus_003,4.100530090638892,16.641896687159637,10.371213388899264
But they are ready to attack. Do something! Help me! Look at what's happening.,"Tsufɛ megyi mɩ bwɛhɛ kʋkʋ sʋ bʋsrɩ bʋdɛ ɩwɩsʋ da. Kʋsʋ kɩ tɔá ɩdɛ mʋ́sʋ yɔ, afʋbʋa mɩ.",Tsufɛ megyi is doing good things for the people. He is going to the market to my home.,0.106287904,output-onesimus_003,2.5197593442434796,18.90226441527162,10.71101187975755
"You punish us severely because of our sins. Like a moth, you destroy what we treasure most. We are as frail as a breath.","Nɩ fɛbɩtɩ nyankpʋsa ɩsʋ mʋ lakpan sʋ a, fʋteyinta tɔá ɩhɩɛ bʋ labi ha mʋ fɛ tɛplɛ lawɩ tati. Lɛlɛ mʋ a, nyankpʋsa nkpa igyi fɛ ɔtsawʋlɛ ɔŋɛ fʋhɛ.” Ɩya.","But the elders have spoken with his house, the children are there, they have the villagers with the permission of the ancestors. Indeed, the elders' words confirm the truth. That's it.",0.19495761,output-onesimus_003,1.559480765382838,19.137006532959226,10.348243649171032
"Brutal people may attack and try to kill me, but they will stumble. Fierce enemies may attack, but they will fall.","Nɩ aha lalahɛ, alupʋ pʋ́ adʋn bɔkʋsʋ bɛɛ bɔ́wɩ mɩ a, bósutin dɩda kpla.","In Lalaha village, the man who is there, the Bokosu people are building a house.",-0.09621309,output-onesimus_003,2.0587069884389337,16.72272050771549,9.390713748077212
