Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
deepseek-v3.1,10.71,33.27,21.99,10.705683624241821,33.266835661864064,21.98625964305294
llama-4-maverick-17b-128e-instruct,9.89,29.84,19.87,9.894055402193736,29.839587508209608,19.86682145520167
mistral-medium-3-instruct,7.17,25.60,16.39,7.170029544935845,25.601722424901325,16.385875984918584
gemini-2.5-flash,6.28,25.94,16.11,6.280174927775499,25.943158860282352,16.11166689402893
kimi-k2-instruct-0905,5.90,25.35,15.63,5.90105148589572,25.351519159039643,15.62628532246768
llama-3.1-405b-instruct,5.14,24.69,14.91,5.136383107741923,24.68971216623966,14.913047636990788
claude-sonnet-4-5,5.15,24.56,14.86,5.152299863970879,24.56406382324786,14.858181843609369
gpt-4.1,4.94,22.75,13.85,4.939182482825822,22.753264897505087,13.846223690165456
qwen3-235b-a22b,3.46,23.34,13.40,3.456374969792453,23.343006282168965,13.399690625980709
mistral-7b-instruct-v0.3,2.41,22.88,12.64,2.407154585363345,22.881739135206328,12.644446860284836
seed-oss-36b-instruct,2.33,22.66,12.49,2.328996660462726,22.66022800102502,12.494612330743871
qwen3-32b,3.89,20.90,12.40,3.8936856940949296,20.90155018033523,12.39761793721508
llama-3.3-70b-instruct,2.76,22.03,12.40,2.7624061544175444,22.03235580318337,12.397380978800456
gemma-2-27b-it,2.00,19.71,10.86,2.0037682356507225,19.71260570419447,10.858186969922595
palmyra-med-70b,2.33,19.24,10.78,2.3334509371759973,19.235268390708953,10.784359663942473
qwq-32b,2.08,19.34,10.71,2.083167103168986,19.339468188189876,10.711317645679431
gemma2-9b-it,2.17,18.83,10.50,2.1728662819610083,18.83065586392456,10.501761072942784
gemma-2-9b-it,1.80,18.30,10.05,1.795053979433203,18.303402001037327,10.049227990235265
gpt-oss-120b,1.46,15.88,8.67,1.4612458258117387,15.882141456276074,8.671693641043907
