Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
gpt-4.1,43.01,26.46,34.74,43.01150032551201,26.46124257905497,34.73637145228349
claude-sonnet-4-5,28.83,29.47,29.15,28.828842892493853,29.46895339997266,29.148898146233257
gemini-2.5-flash,17.54,25.93,21.74,17.543744527808776,25.92668824546415,21.735216386636463
llama-3.1-405b-instruct,10.13,24.22,17.17,10.12558988300726,24.21697484613758,17.17128236457242
mistral-medium-3-instruct,8.38,24.84,16.61,8.383924775392588,24.839264557652758,16.611594666522674
deepseek-v3.1,7.68,25.17,16.42,7.6784327065861735,25.170909044673305,16.42467087562974
kimi-k2-instruct-0905,8.36,23.39,15.87,8.358366728706939,23.386070697627986,15.872218713167463
gemma-2-9b-it,10.86,20.86,15.86,10.862721615727713,20.858465788060244,15.860593701893979
llama-3.3-70b-instruct,7.86,23.65,15.75,7.860878798599255,23.64738269185719,15.754130745228222
llama-4-maverick-17b-128e-instruct,7.93,23.17,15.55,7.927655973163472,23.17296578758022,15.550310880371846
gemma2-9b-it,5.91,24.37,15.14,5.911245883122323,24.37429965816643,15.142772770644376
qwen3-235b-a22b,7.11,23.15,15.13,7.10555391350209,23.145201744039213,15.125377828770652
mistral-7b-instruct-v0.3,7.31,21.98,14.64,7.308097097488305,21.98082483396036,14.644460965724331
qwen3-32b,7.48,21.18,14.33,7.477912603899686,21.181329286760807,14.329620945330246
palmyra-med-70b,3.42,24.53,13.98,3.4197980307804725,24.53484759790733,13.977322814343902
seed-oss-36b-instruct,3.84,22.97,13.40,3.8413978522147305,22.9681362543749,13.404767053294815
qwq-32b,2.48,22.27,12.38,2.4829886830705856,22.268835793669087,12.375912238369835
gemma-2-27b-it,3.74,20.63,12.19,3.7422239775457418,20.631249907558598,12.18673694255217
gpt-oss-120b,0.00,16.98,8.49,0.0,16.982022867636434,8.491011433818217
