ref,text,translated,source_zip_file,bleu_score,chrf_score,avg_score
"While Joseph was thinking about this, an angel from the Lord appeared to him in a dream. The angel said, “Joseph, the baby that Mary will have is from the Holy Spirit. Go ahead and marry her.","Wʊn wa tɩɛr a yele nyã maalfʊ, ka a Nãaŋmɩn malaka wa a wʊ sɛ̃ jãn pɔ wa 'yɛr, “Josefʊ, David bie, ta joro dãbãɛ ɩka fʊ de a Mɛɛr ka wʊ ɩ a fʊ pɔɔ ɛ, a bie na be a wʊ pʊɔm yin a Nãaŋmɩn Sɩɛ kpɛ̃ɔ pɔ.","When he was thinking about this, an angel of the Lord appeared to him in a dream, saying, ""Joseph, son of David, do not be afraid to take Mary as your wife, because the child that is in her womb is from the Holy Spirit.",output_proprietary_batch1,33.70706293894672,56.48984401717533,45.098453478061025
"The angel said, “Get up and take the child and his mother back to Israel. The people who wanted to kill him are now dead.”","“Vaa ir 'mɔɔ a bie nɩ a wʊ ma na fʊ chiin a Isɩral wɛr pɔ, a bala na dɔ̃ɔ bʊɔrɔ a bie kʊfʊ kpi naa.”","If you do not drive out the inhabitants of the land before you, those you allow to remain will become barbs in your eyes and thorns in your sides.",output_proprietary_batch1,1.793443763338368,18.378637286003645,10.086040524671006
"But when he heard that Herod's son Archelaus was now ruler of Judea, he was afraid to go there. Then in a dream he was told to go to Galilee,","Tɩchɛ wʊn wa wõ ɩka Archelaus lɛ di a nãa a Judiya a wʊ sãa kũu puor, wʊ joro na dãbãɛ ɩka wʊ lɛ chen a be. Ka a Nãaŋmɩn wa kpãa wʊ a jãn pɔ ɩka wʊ chen be Galilee paal pɔ.","But when he heard that Archelaus was reigning over Judea in place of his father, he was afraid to go there. And God warned him in a dream so he went to the region of Galilee.",output_proprietary_batch1,32.688904835066374,56.60948302016253,44.64919392761445
"He said, “Turn back to God! The kingdom of heaven will soon be here.”","'yɛrɛ, “Yɩ lɩɛb a yɩ befʊ, a Nãaŋmɩn nãalʊ̃ʊ ta na.”","saying, ""You know and you refuse, and that is God's truth.""",output_proprietary_batch1,2.5665813713132626,12.88359441264991,7.725087891981586
From Jerusalem and all Judea and from the Jordan River Valley crowds of people went to John.,Nɩyɔɔ yin a Jerusalɛm nɩ Judiya chiine a wʊ sɛ̃ nɩ a bala na yi a Jordan man koor.,And he went throughout all the region around the Jordan preaching in Jerusalem and Judea and all the surrounding area.,output_proprietary_batch1,7.481424186273333,41.243244791429795,24.362334488851566
"Jesus answered, “The Scriptures also say, ‘Don't try to test the Lord your God!’ ”","Ka a Yesu mɩ 'yɛr kʊ wʊ, “A mɩ sɛb a Nãaŋmɩn gãn pɔ ɩka, ta bɛɛr a yɩ Nãaŋmɩn kaa ɛ.” (Mosesɩ Gãma Na Tu Anũu","If you believe in Jesus, ""You will see the glory of God,"" he said to her.",output_proprietary_batch1,2.8423265381137037,17.341128357407285,10.091727447760494
"So God's promise came true, just as the prophet Isaiah had said,","Ka a lɛ jaa a Nãaŋmɩn 'yɛ'yɛrɛ Isaiya na dɔ̃ɔ 'yɛr ɩ yelmãɛ,","And you have fulfilled the prophecy of Isaiah which says,",output_proprietary_batch1,3.755001157177446,26.416712700142547,15.085856928659997
"When you make a promise, say only “Yes” or “No.” Anything else comes from the devil. Revenge (Luke","Yɩ vɛ̃ ka a yɩ ɔ̃ɔ ɩ ɔ̃ɔ ka a yɩ kai ɩ kai, bon 'lɔ na gar a nɩtɔ̃ yin a dɛɛr sʊɔ sɛ̃.","Whether you are a man or a woman, God will judge you according to your deeds.",output_proprietary_batch1,2.4326351876994745,14.538569167329893,8.485602177514684
"If you greet only your friends, what's so great about this? Don't even unbelievers do that?","Yɩn ma puoro a bala tɛɛ na ɩ a yɩ nɩbɛ, bo tɔ̃nɔ̃ lɛ be be? A bala na ba ɩ a Juu nɩbɛ ɛ, maa mɩ ɩ a lɛ bɩɩ?","If I don't greet a person well or do something bad to them, will they be happy? If a person doesn't do good to you, will you be happy with them?",output_proprietary_batch1,1.7176188460170134,22.88330086063478,12.300459853325897
But you must always act like your Father in heaven.,Yɩ ɩ nɩmɩn a lɛ a yɩ sãa Nãaŋmɩn na be a saaju kaar.,"If you believe in him, he will give you the kingdom of God.",output_proprietary_batch1,3.4585921141027356,16.910255494629556,10.184423804366146
