Model,Similarity Score (%),Raw Score
gemini-2.5-flash,69.11%,69.10662841796875
claude-sonnet-4-5,37.02%,37.01736958821615
gpt-4.1,31.46%,31.460975646972656
mistral-7b-instruct-v0.3,26.60%,26.5963276
kimi-k2-instruct-0905,26.24%,26.236982834760276
palmyra-med-70b,25.72%,25.720763369999993
qwen3-32b,24.22%,24.216831236
gemma2-9b-it,24.21%,24.20767646
qwen3-235b-a22b,21.96%,21.955139072116626
llama-4-maverick-17b-128e-instruct,21.55%,21.553081890343233
llama-3.1-405b-instruct,21.42%,21.419605241980697
gemma-2-27b-it,20.92%,20.919129084282147
mistral-medium-3-instruct,20.52%,20.5152025601857
deepseek-v3.1,20.36%,20.35884916431957
gemma-2-9b-it,20.33%,20.332531891589102
gpt-oss-120b,20.25%,20.253480719256885
llama-3.3-70b-instruct,18.88%,18.87509788704963
qwq-32b,17.17%,17.166925676574902
seed-oss-36b-instruct,16.32%,16.317940109378487
