Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
gemini-2.5-flash,34.65,33.86,34.25,34.64596663612719,33.85880647220921,34.2523865541682
gpt-4.1,40.13,24.12,32.12,40.129341737177064,24.116954353392416,32.123148045284736
claude-sonnet-4-5,37.91,26.18,32.05,37.911915463608715,26.184949895378985,32.04843267949385
kimi-k2-instruct-0905,24.49,30.07,27.28,24.491064943437035,30.06537289493502,27.278218919186028
deepseek-v3.1,3.96,32.15,18.06,3.96466996903532,32.15110353789032,18.05788675346282
qwen3-32b,11.58,22.59,17.08,11.581380964805074,22.58773763954714,17.084559302176107
palmyra-med-70b,3.36,26.85,15.11,3.3608728159393864,26.85495521187648,15.107914013907934
llama-3.3-70b-instruct,8.68,20.67,14.67,8.675107600029897,20.669017514710053,14.672062557369975
qwen3-235b-a22b,8.45,20.25,14.35,8.447773742536654,20.2519376564563,14.349855699496477
llama-4-maverick-17b-128e-instruct,4.88,22.93,13.90,4.881544430202361,22.92599720284095,13.903770816521655
gemma2-9b-it,8.41,19.09,13.75,8.40876630619497,19.08737092022285,13.74806861320891
llama-3.1-405b-instruct,3.52,23.26,13.39,3.5177264276945084,23.263927675149333,13.39082705142192
gpt-oss-120b,8.66,17.59,13.13,8.661387883295113,17.59181843963991,13.12660316146751
mistral-medium-3-instruct,6.70,19.31,13.01,6.703084558950244,19.309018065234344,13.006051312092294
qwq-32b,3.27,19.77,11.52,3.274011941168719,19.77061692146782,11.52231443131827
gemma-2-27b-it,3.89,18.86,11.37,3.8856620103720525,18.861126824222843,11.373394417297447
seed-oss-36b-instruct,1.87,19.97,10.92,1.86547639099627,19.965416917144296,10.915446654070283
mistral-7b-instruct-v0.3,2.05,17.94,9.99,2.0506623206233634,17.935724860835723,9.993193590729543
gemma-2-9b-it,2.49,16.48,9.49,2.4900807945060754,16.482688372682624,9.486384583594349
